,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1891,286.237,8.78,81.71,45.24,1.14,16.98
1,1981,36,0.1962,287.308,14.69,65.01,39.85,4.13,33.61
2,1981,37,0.2011,287.837,22.76,47.11,34.94,6.87,51.73
3,1981,38,0.2049,287.857,31.98,33.16,32.57,8.09,59.69
4,1981,39,0.2056,287.06,40.67,24.66,32.66,6.02,59.52
5,1981,40,0.2007,285.42,47.61,21.52,34.56,3.75,53.54
6,1981,41,0.1892,282.798,51.79,25.21,38.5,1.9,39.97
7,1981,42,0.1715,279.414,52.9,33.15,43.02,0.97,26.83
8,1981,43,0.1469,275.884,49.78,39.88,44.83,0.76,24.35
9,1981,44,0.1195,271.8,43.03,48.17,45.6,1.01,25.4
10,1981,45,0.0976,267.986,39.65,52.55,46.1,0.88,25.27
11,1981,46,0.0828,264.8,42.28,52.6,47.44,1.01,23.97
12,1981,47,0.0743,262.251,47.6,51.66,49.63,0.55,19.76
13,1981,48,0.0681,260.823,50.59,48.58,49.58,0.5,19.17
14,1981,49,0.0623,259.786,49.63,46.89,48.26,0.67,22.66
15,1981,50,0.061,259.013,51.91,45.94,48.92,0.84,21.02
16,1981,51,0.0591,258.56,53.54,44.26,48.9,0.76,20.89
17,1981,52,0.0579,258.755,56.61,38.86,47.74,0.5,21.02
18,1982,1,0.0599,259.934,63.81,27.55,45.68,0.93,22.24
19,1982,2,0.0636,261.689,67.4,19.82,43.61,1.01,23.55
20,1982,3,0.0653,262.911,68.14,17.19,42.66,0.8,25.65
21,1982,4,0.0642,264.158,65.75,17.69,41.72,0.29,27.46
22,1982,5,0.0596,264.372,57.71,24.29,41.0,0.08,28.26
23,1982,6,0.056,264.95,48.17,30.1,39.14,0.04,33.15
24,1982,7,0.0537,265.815,39.32,34.6,36.96,0.04,42.8
25,1982,8,0.0545,266.887,34.27,37.5,35.89,0.13,47.18
26,1982,9,0.0555,268.241,30.52,39.77,35.15,0.08,50.67
27,1982,10,0.0584,270.1,27.77,39.63,33.7,0.08,59.06
28,1982,11,0.0659,272.208,27.08,38.85,32.96,0.21,64.24
29,1982,12,0.0748,274.23,26.04,40.74,33.39,0.13,61.25
30,1982,13,0.0814,275.717,23.19,43.54,33.37,0.34,60.62
31,1982,14,0.0865,276.853,19.25,46.19,32.72,1.01,62.93
32,1982,15,0.0936,277.557,16.91,50.99,33.95,0.72,56.99
33,1982,16,0.1123,279.143,12.61,69.21,40.91,0.25,30.12
34,1982,17,0.1358,281.365,12.7,73.69,43.2,0.13,23.38
35,1982,18,0.1769,284.8,19.31,69.11,44.21,0.21,20.81
36,1982,19,0.2239,287.938,27.27,61.78,44.52,0.38,20.05
37,1982,20,0.2635,289.958,27.59,57.95,42.77,0.46,22.03
38,1982,21,0.2919,290.75,31.73,57.68,44.7,0.17,16.93
39,1982,22,0.307,290.87,33.47,58.26,45.86,0.13,15.25
40,1982,23,0.3126,290.858,32.85,59.53,46.19,0.08,14.36
41,1982,24,0.3114,290.709,30.63,62.47,46.55,0.04,12.6
42,1982,25,0.3095,290.543,28.79,66.32,47.55,0.04,10.4
43,1982,26,0.3095,290.527,28.44,67.91,48.17,0.0,9.1
44,1982,27,0.3135,290.946,31.26,66.14,48.7,0.04,9.14
45,1982,28,0.3213,291.618,37.13,62.8,49.97,0.0,7.37
46,1982,29,0.3306,292.429,43.45,58.34,50.89,0.0,6.95
47,1982,30,0.3311,292.809,50.04,57.33,53.69,0.04,4.72
48,1982,31,0.3312,293.326,52.1,54.3,53.2,0.04,5.52
