,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1561,291.485,13.64,73.83,43.73,0.24,21.25
1,1981,36,0.1623,291.935,20.67,60.72,40.69,1.38,34.43
2,1981,37,0.1679,291.846,28.77,47.18,37.97,1.96,45.03
3,1981,38,0.1705,291.02,36.46,38.13,37.29,2.2,45.99
4,1981,39,0.1703,289.375,42.95,34.67,38.81,1.43,40.35
5,1981,40,0.1655,286.927,48.11,34.84,41.47,0.67,31.76
6,1981,41,0.1564,283.721,51.76,37.82,44.79,0.33,22.54
7,1981,42,0.1448,280.089,54.17,41.38,47.77,0.14,15.33
8,1981,43,0.1291,276.458,54.18,42.5,48.34,0.1,14.61
9,1981,44,0.1071,271.979,50.63,47.9,49.26,0.1,13.71
10,1981,45,0.0851,267.621,47.34,53.67,50.5,0.05,14.14
11,1981,46,0.0702,263.731,48.63,59.12,53.87,0.05,10.55
12,1981,47,0.0628,261.196,51.8,60.05,55.92,0.0,9.41
13,1981,48,0.0569,259.997,53.48,56.48,54.98,0.05,11.84
14,1981,49,0.0502,258.93,50.06,54.77,52.42,0.33,15.66
15,1981,50,0.0484,258.461,52.8,51.58,52.19,0.24,14.52
16,1981,51,0.0452,258.198,54.22,48.01,51.12,0.14,14.85
17,1981,52,0.0399,258.405,51.37,41.37,46.37,0.1,20.97
18,1982,1,0.0356,259.283,54.33,26.01,40.17,0.43,37.82
19,1982,2,0.0331,260.662,52.69,19.9,36.3,0.52,50.53
20,1982,3,0.0326,261.945,51.39,19.03,35.21,0.43,53.77
21,1982,4,0.0303,262.989,45.86,21.71,33.78,0.24,59.07
22,1982,5,0.0275,263.263,38.51,28.86,33.69,0.05,60.6
23,1982,6,0.0256,263.952,31.46,35.48,33.47,0.19,62.27
24,1982,7,0.025,264.62,24.4,41.73,33.06,0.14,66.29
25,1982,8,0.0263,265.55,21.49,45.54,33.52,0.0,64.57
26,1982,9,0.0264,266.674,18.79,49.5,34.14,0.0,58.4
27,1982,10,0.0279,268.173,16.42,51.86,34.14,0.0,58.26
28,1982,11,0.0355,270.782,17.33,49.65,33.48,0.05,62.85
29,1982,12,0.046,274.111,19.55,46.14,32.85,0.1,65.47
30,1982,13,0.055,276.607,21.76,44.85,33.31,0.1,60.79
31,1982,14,0.0612,278.442,22.26,44.21,33.23,0.19,61.13
32,1982,15,0.066,279.344,20.01,47.19,33.6,0.38,60.08
33,1982,16,0.0821,280.755,19.98,58.31,39.15,0.14,37.39
34,1982,17,0.1023,282.566,20.22,66.23,43.22,0.14,24.07
35,1982,18,0.1314,285.423,23.2,68.86,46.03,0.19,17.43
36,1982,19,0.1678,288.695,26.12,68.72,47.42,0.14,14.04
37,1982,20,0.2011,290.924,25.19,68.44,46.81,0.05,13.18
38,1982,21,0.2282,291.982,26.5,70.53,48.51,0.0,9.79
39,1982,22,0.248,292.491,26.27,71.85,49.06,0.0,8.07
40,1982,23,0.2571,292.567,23.65,73.81,48.73,0.05,7.59
41,1982,24,0.2628,292.824,21.7,74.8,48.24,0.0,7.78
42,1982,25,0.2652,292.723,20.6,79.77,50.19,0.0,5.59
43,1982,26,0.2663,292.754,20.52,83.01,51.76,0.0,3.96
44,1982,27,0.2643,292.978,21.18,82.79,51.98,0.0,3.53
45,1982,28,0.265,293.347,24.82,79.68,52.25,0.0,4.2
46,1982,29,0.2727,294.103,30.99,74.94,52.96,0.0,3.96
47,1982,30,0.2739,294.76,42.0,69.3,55.65,0.0,2.87
48,1982,31,0.2716,295.447,44.76,64.33,54.54,0.0,3.58
49,1982,32,0.2684,296.136,47.19,59.22,53.21,0.0,3.96
50,1982,33,0.2654,296.448,50.21,56.45,53.33,0.0,4.16
51,1982,34,0.2611,296.319,52.59,54.23,53.41,0.05,4.01
52,1982,35,0.2556,296.099,55.72,45.47,50.6,0.05,6.54
53,1982,36,0.2455,295.918,57.94,28.67,43.31,0.48,22.25
54,1982,37,0.2271,294.811,56.92,20.68,38.8,1.1,36.15
55,1982,38,0.2067,293.044,54.6,19.65,37.12,1.05,44.27
56,1982,39,0.1813,290.745,48.65,22.52,35.59,1.91,51.34
57,1982,40,0.1508,287.938,40.4,26.57,33.48,3.68,58.17
58,1982,41,0.1237,285.276,33.97,25.72,29.85,7.59,70.2
59,1982,42,0.1046,282.529,31.84,24.15,27.99,9.31,77.22
60,1982,43,0.0904,279.866,31.96,21.05,26.5,10.46,82.09
61,1982,44,0.0799,277.811,33.28,15.23,24.26,14.18,88.44
62,1982,45,0.0681,275.732,34.32,11.51,22.91,18.43,90.21
63,1982,46,0.0585,273.086,37.19,11.48,24.34,15.62,86.87
64,1982,47,0.0488,269.424,36.11,16.8,26.45,11.65,81.18
65,1982,48,0.0423,265.816,35.33,24.66,30.0,7.74,70.06
66,1982,49,0.0382,262.941,33.95,32.5,33.22,6.73,59.74
67,1982,50,0.0335,259.926,31.98,43.15,37.56,4.97,45.99
68,1982,51,0.0323,257.588,36.29,51.38,43.83,1.62,28.65
69,1982,52,0.0314,256.672,39.11,50.14,44.63,0.57,25.07
70,1983,1,0.0288,256.745,43.3,38.12,40.71,0.86,35.53
71,1983,2,0.0259,257.001,41.15,35.84,38.49,0.48,41.74
72,1983,3,0.0255,256.936,40.37,39.55,39.96,0.14,36.68
73,1983,4,0.0267,256.734,40.51,46.0,43.25,0.05,25.74
74,1983,5,0.0272,257.175,37.88,52.01,44.94,0.05,20.82
75,1983,6,0.0258,256.868,31.5,61.44,46.47,0.05,15.52
76,1983,7,0.0256,257.849,24.84,65.4,45.12,0.05,15.76
77,1983,8,0.0271,259.99,21.98,64.37,43.18,0.05,19.01
78,1983,9,0.0304,262.797,21.42,62.27,41.84,0.0,20.49
79,1983,10,0.0361,266.425,21.29,57.6,39.44,0.0,30.33
80,1983,11,0.043,270.199,21.43,51.68,36.56,0.1,46.9
81,1983,12,0.0534,274.56,23.46,44.86,34.16,0.1,60.22
82,1983,13,0.0701,279.828,29.78,34.56,32.17,0.24,68.62
83,1983,14,0.0875,283.956,35.87,25.78,30.82,0.48,73.4
84,1983,15,0.1058,287.33,39.4,19.57,29.48,1.86,77.75
85,1983,16,0.1259,289.788,40.03,20.06,30.05,2.82,74.02
86,1983,17,0.1473,291.816,39.41,21.59,30.5,2.72,72.11
87,1983,18,0.1745,293.719,40.42,24.25,32.33,2.05,63.71
88,1983,19,0.2026,294.657,39.83,34.4,37.12,0.76,43.03
89,1983,20,0.225,295.678,33.28,40.79,37.03,0.72,43.36
90,1983,21,0.2447,296.814,32.47,40.42,36.45,1.38,44.94
91,1983,22,0.2591,297.237,30.48,40.91,35.69,2.58,48.81
92,1983,23,0.2676,297.065,27.67,43.34,35.51,3.2,49.57
93,1983,24,0.2645,296.419,21.85,48.89,35.37,3.58,50.62
94,1983,25,0.2589,296.44,17.38,52.06,34.72,5.16,52.63
95,1983,26,0.2546,296.715,15.08,52.96,34.02,5.11,53.01
96,1983,27,0.2455,296.534,13.22,54.34,33.78,5.92,55.97
97,1983,28,0.2262,295.6,9.78,60.98,35.38,4.35,50.14
98,1983,29,0.2061,294.653,6.91,68.88,37.9,2.39,41.6
99,1983,30,0.1835,293.179,5.72,78.54,42.13,0.91,26.69
100,1983,31,0.1779,292.731,6.85,81.5,44.17,0.19,21.16
101,1983,32,0.1828,293.12,10.41,79.33,44.87,0.1,19.53
102,1983,33,0.1934,293.874,17.11,75.22,46.16,0.1,17.24
103,1983,34,0.2043,294.724,25.96,66.98,46.47,0.14,17.05
104,1983,35,0.2114,295.578,35.28,49.99,42.63,0.38,25.41
105,1983,36,0.2073,295.018,40.18,37.01,38.59,1.67,38.59
106,1983,37,0.1964,294.132,42.13,26.9,34.51,3.68,53.63
107,1983,38,0.1852,292.937,43.78,20.43,32.11,4.54,62.56
108,1983,39,0.1741,291.054,44.89,19.53,32.21,3.92,61.03
109,1983,40,0.1631,289.173,46.58,15.6,31.09,4.39,66.62
110,1983,41,0.1466,286.469,45.95,15.82,30.88,4.16,67.48
111,1983,42,0.129,283.426,44.79,17.68,31.23,3.25,67.05
112,1983,43,0.1089,279.975,42.06,20.44,31.25,2.39,67.43
113,1983,44,0.0929,276.329,41.06,23.67,32.37,1.58,62.8
114,1983,45,0.0845,272.974,46.03,26.06,36.04,0.57,46.75
115,1983,46,0.0773,269.94,53.78,27.67,40.72,0.24,29.51
116,1983,47,0.0709,267.552,59.18,26.61,42.89,0.19,23.5
117,1983,48,0.0679,265.837,65.53,24.39,44.96,0.05,20.53
118,1983,49,0.0618,264.142,64.6,25.55,45.07,0.24,22.3
119,1983,50,0.0569,262.575,64.02,27.71,45.87,0.38,22.44
120,1983,51,0.0528,260.711,64.53,33.5,49.01,0.29,17.29
121,1983,52,0.0492,258.643,64.85,39.67,52.26,0.14,11.84
122,1984,1,0.0472,257.138,72.76,36.05,54.41,0.05,11.03
123,1984,2,0.044,255.613,70.05,41.95,56.0,0.1,8.88
124,1984,3,0.041,254.556,64.52,49.4,56.96,0.0,5.97
125,1984,4,0.0371,254.182,55.78,56.09,55.93,0.0,4.35
126,1984,5,0.0327,254.426,45.32,62.65,53.98,0.0,3.82
127,1984,6,0.0301,254.155,36.52,71.47,53.99,0.0,2.24
128,1984,7,0.0285,254.235,27.7,77.87,52.78,0.0,2.01
