,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.261,283.689,20.91,82.55,51.73,0.0,5.43
1,1981,36,0.2737,285.456,32.61,64.43,48.52,0.0,12.15
2,1981,37,0.2749,286.068,41.29,47.58,44.44,0.16,19.65
3,1981,38,0.2702,286.004,46.38,37.11,41.74,0.26,26.01
4,1981,39,0.2593,285.112,49.06,32.52,40.79,0.31,28.75
5,1981,40,0.2415,283.441,50.25,32.15,41.2,0.21,27.2
6,1981,41,0.2157,280.834,48.5,38.09,43.29,0.05,21.72
7,1981,42,0.1862,277.376,44.65,46.87,45.76,0.05,15.51
8,1981,43,0.1544,272.925,38.75,59.19,48.97,0.0,11.17
9,1981,44,0.1225,268.151,31.86,70.9,51.38,0.0,8.84
10,1981,45,0.0969,263.588,26.53,78.2,52.36,0.0,7.14
11,1981,46,0.0769,259.342,23.49,82.91,53.2,0.0,5.17
12,1981,47,0.0673,256.1,26.45,85.81,56.13,0.0,3.41
13,1981,48,0.0623,253.794,32.31,87.26,59.78,0.0,1.71
14,1981,49,0.0567,251.848,30.38,88.9,59.64,0.0,1.71
15,1981,50,0.0546,250.245,31.03,90.41,60.72,0.0,1.55
16,1981,51,0.0518,249.669,34.15,90.72,62.44,0.0,1.34
17,1981,52,0.0493,250.243,35.76,88.26,62.01,0.0,1.86
18,1982,1,0.0486,251.943,38.69,81.78,60.23,0.05,3.15
19,1982,2,0.0475,253.972,35.27,72.96,54.11,0.1,6.51
20,1982,3,0.0463,256.44,32.61,60.45,46.53,0.16,16.75
21,1982,4,0.0442,258.827,28.42,50.15,39.29,0.47,34.23
22,1982,5,0.0418,260.77,23.36,45.16,34.26,1.19,55.58
23,1982,6,0.0414,262.409,20.62,42.8,31.71,1.97,68.2
24,1982,7,0.0438,264.124,19.99,41.13,30.56,1.91,73.94
25,1982,8,0.0483,266.346,21.2,38.63,29.91,2.07,77.3
26,1982,9,0.0539,268.708,22.32,44.34,33.33,0.88,62.41
27,1982,10,0.0626,271.256,24.4,39.6,32.0,0.98,67.74
28,1982,11,0.0737,273.342,26.61,37.41,32.01,0.47,67.74
29,1982,12,0.0847,275.302,28.12,35.34,31.73,0.36,69.24
30,1982,13,0.0943,276.803,29.79,32.41,31.1,0.36,73.01
31,1982,14,0.1037,277.687,31.76,31.88,31.82,0.21,70.01
32,1982,15,0.1104,278.087,31.7,32.97,32.33,0.21,68.25
33,1982,16,0.1257,278.932,12.63,63.92,38.27,1.29,40.8
34,1982,17,0.1473,280.332,12.73,67.81,40.27,0.62,31.23
35,1982,18,0.1774,282.409,15.92,65.79,40.85,0.36,29.52
36,1982,19,0.2217,285.356,24.18,55.27,39.72,0.93,33.35
37,1982,20,0.2714,288.125,31.86,46.92,39.39,0.93,32.94
38,1982,21,0.309,289.593,38.92,42.43,40.67,0.52,28.96
39,1982,22,0.3281,290.19,41.22,40.93,41.08,0.62,26.78
40,1982,23,0.3304,290.2,40.02,41.91,40.96,0.57,27.4
41,1982,24,0.3219,289.653,36.33,46.55,41.44,0.26,26.27
42,1982,25,0.3164,289.339,34.13,49.95,42.04,0.41,25.75
43,1982,26,0.3123,289.467,32.35,50.76,41.56,0.41,27.3
44,1982,27,0.3136,289.966,32.74,50.55,41.64,0.21,28.7
45,1982,28,0.3179,290.651,34.96,48.74,41.85,0.1,28.44
46,1982,29,0.3299,291.763,40.28,42.37,41.32,0.41,30.35
47,1982,30,0.3341,292.529,39.54,37.94,38.74,0.78,36.76
48,1982,31,0.3301,292.96,37.79,33.02,35.41,2.12,49.33
49,1982,32,0.3254,293.112,35.7,29.79,32.75,4.81,58.69
50,1982,33,0.3244,293.219,34.99,25.33,30.16,9.15,66.29
51,1982,34,0.3202,293.222,35.47,19.05,27.26,15.56,74.56
52,1982,35,0.3071,292.895,36.43,12.1,24.26,20.94,83.04
53,1982,36,0.2913,292.464,38.11,6.49,22.3,23.94,88.88
54,1982,37,0.2721,291.494,38.45,4.43,21.44,27.56,91.0
55,1982,38,0.2557,290.03,38.68,5.29,21.99,25.18,90.18
56,1982,39,0.2332,288.0,36.42,9.83,23.12,21.3,88.37
57,1982,40,0.2123,286.083,35.77,11.92,23.84,19.24,86.82
58,1982,41,0.197,284.524,38.18,10.6,24.39,17.99,84.59
59,1982,42,0.188,282.987,44.26,8.88,26.57,12.51,79.89
60,1982,43,0.1741,281.273,48.45,7.73,28.09,9.46,75.18
61,1982,44,0.1576,279.199,52.68,7.99,30.34,6.36,67.43
62,1982,45,0.1407,276.948,57.87,8.58,33.22,4.29,58.01
63,1982,46,0.126,275.138,64.16,7.63,35.89,2.07,47.67
64,1982,47,0.1127,272.972,68.22,8.75,38.49,0.83,39.09
65,1982,48,0.0992,270.401,67.63,11.94,39.78,0.47,33.25
66,1982,49,0.0884,267.671,63.7,15.95,39.83,0.57,33.45
67,1982,50,0.0786,264.513,58.55,23.39,40.97,0.52,32.58
68,1982,51,0.0702,260.994,56.09,36.5,46.29,0.16,20.58
69,1982,52,0.0627,258.813,52.04,46.57,49.31,0.21,14.43
70,1983,1,0.0568,258.278,48.75,50.35,49.55,0.52,13.96
71,1983,2,0.0541,259.251,42.28,47.89,45.08,0.57,20.27
72,1983,3,0.0536,260.553,39.97,42.15,41.06,0.57,29.37
73,1983,4,0.0538,261.636,37.02,39.12,38.07,1.14,39.4
74,1983,5,0.0508,261.467,30.04,42.86,36.45,1.14,45.24
75,1983,6,0.0458,261.385,23.16,46.44,34.8,0.88,52.69
76,1983,7,0.0433,262.421,19.18,47.0,33.09,1.24,62.2
77,1983,8,0.0424,263.175,17.18,49.38,33.28,1.55,60.65
78,1983,9,0.0462,264.109,17.68,63.42,40.55,0.1,29.01
79,1983,10,0.0526,265.522,18.76,62.42,40.59,0.21,28.65
80,1983,11,0.058,266.755,18.42,62.15,40.28,0.1,28.08
81,1983,12,0.0686,268.167,20.14,60.7,40.42,0.1,27.56
82,1983,13,0.0849,270.33,25.11,55.14,40.13,0.05,29.27
83,1983,14,0.1026,272.716,30.75,49.22,39.98,0.1,29.63
84,1983,15,0.1248,275.718,36.94,40.81,38.88,0.1,32.88
85,1983,16,0.1535,278.585,25.36,66.18,45.77,0.05,17.74
86,1983,17,0.1887,281.586,30.42,60.38,45.4,0.0,16.34
87,1983,18,0.2274,284.166,35.66,54.9,45.28,0.0,14.99
88,1983,19,0.2596,286.091,38.38,50.63,44.51,0.05,16.49
89,1983,20,0.289,288.269,37.58,45.93,41.75,0.1,24.2
90,1983,21,0.3139,289.57,40.36,42.48,41.42,0.31,25.13
91,1983,22,0.3311,290.475,41.84,38.85,40.34,0.41,29.01
92,1983,23,0.3383,290.722,42.05,38.23,40.14,0.31,28.8
93,1983,24,0.3282,289.9,37.54,44.99,41.26,0.47,25.34
94,1983,25,0.3291,290.202,37.27,44.04,40.66,0.57,28.39
95,1983,26,0.3309,290.79,37.66,40.99,39.33,0.62,33.71
96,1983,27,0.3231,290.679,35.0,45.29,40.14,0.47,32.21
97,1983,28,0.3025,289.967,28.62,54.55,41.58,0.57,30.09
98,1983,29,0.2836,289.055,22.99,65.14,44.06,0.41,24.51
99,1983,30,0.2739,288.573,14.59,71.29,42.94,0.31,23.37
