,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1437,293.944,18.87,71.83,45.35,0.05,19.24
1,1981,36,0.1472,294.238,23.89,57.38,40.64,1.09,34.63
2,1981,37,0.1501,293.988,29.11,44.86,36.99,2.5,46.65
3,1981,38,0.1515,293.098,34.41,37.46,35.94,3.22,49.45
4,1981,39,0.1525,291.521,39.71,34.87,37.29,2.6,43.94
5,1981,40,0.1523,289.281,44.42,33.86,39.14,1.87,37.7
6,1981,41,0.1506,286.441,48.26,33.32,40.79,1.56,32.6
7,1981,42,0.1462,283.183,50.89,33.53,42.21,0.73,28.39
8,1981,43,0.1368,279.952,51.32,32.67,41.99,0.73,30.58
9,1981,44,0.1191,275.986,48.33,36.62,42.48,0.83,28.91
10,1981,45,0.0984,272.049,44.44,42.1,43.27,0.57,27.77
11,1981,46,0.082,268.318,42.37,48.09,45.23,0.62,25.43
12,1981,47,0.0726,265.299,41.95,51.8,46.87,0.78,24.02
13,1981,48,0.0658,263.41,42.52,52.66,47.59,0.88,22.99
14,1981,49,0.0594,261.952,40.77,53.4,47.08,0.99,23.76
15,1981,50,0.0562,260.96,42.89,52.35,47.62,0.83,22.05
16,1981,51,0.0529,260.789,45.64,48.29,46.96,0.42,20.7
17,1981,52,0.0503,261.772,47.46,38.77,43.12,0.47,26.05
18,1982,1,0.0496,263.165,59.08,20.49,39.78,0.52,37.13
19,1982,2,0.0493,264.4,61.85,15.95,38.9,0.31,38.95
20,1982,3,0.0493,265.31,61.05,15.48,38.27,0.1,41.39
21,1982,4,0.046,266.012,53.94,19.07,36.51,0.05,47.69
22,1982,5,0.0407,266.293,43.97,26.3,35.13,0.05,53.67
23,1982,6,0.0374,267.038,35.34,31.6,33.47,0.0,63.13
24,1982,7,0.0359,267.812,27.61,36.56,32.08,0.0,73.32
25,1982,8,0.0368,268.871,24.4,38.9,31.65,0.05,76.7
26,1982,9,0.0372,270.044,22.16,42.39,32.27,0.05,71.97
27,1982,10,0.04,271.672,19.95,43.55,31.75,0.0,74.57
28,1982,11,0.0494,274.145,20.94,41.58,31.26,0.05,75.09
29,1982,12,0.0615,277.591,23.06,38.11,30.58,0.31,77.69
30,1982,13,0.0723,280.554,25.02,35.83,30.42,0.52,77.07
31,1982,14,0.0805,282.541,25.88,35.04,30.46,0.78,76.08
32,1982,15,0.0845,283.603,23.28,35.51,29.4,1.46,79.2
33,1982,16,0.099,284.927,21.98,44.86,33.42,0.52,62.3
34,1982,17,0.1197,286.334,21.58,55.22,38.4,0.16,40.04
35,1982,18,0.1437,288.429,22.23,63.07,42.65,0.05,23.92
36,1982,19,0.1705,290.849,22.38,67.63,45.0,0.1,17.94
37,1982,20,0.1935,292.432,18.96,71.83,45.39,0.16,15.29
38,1982,21,0.2124,293.305,19.71,74.04,46.88,0.1,12.69
39,1982,22,0.2253,293.564,20.65,75.97,48.31,0.0,9.0
40,1982,23,0.2297,293.523,20.87,77.93,49.4,0.0,6.76
41,1982,24,0.2313,293.864,20.37,78.96,49.67,0.0,6.71
42,1982,25,0.231,294.024,20.09,82.9,51.49,0.0,4.58
43,1982,26,0.2287,294.168,20.34,85.89,53.11,0.0,3.22
44,1982,27,0.2235,294.371,20.69,86.09,53.39,0.0,3.07
45,1982,28,0.2199,294.679,22.63,83.36,52.99,0.0,3.07
46,1982,29,0.2295,295.643,28.12,77.55,52.83,0.0,3.48
47,1982,30,0.2362,296.685,42.99,69.08,56.04,0.0,2.34
48,1982,31,0.2376,297.632,47.15,61.89,54.52,0.0,2.7
49,1982,32,0.2358,298.423,50.17,55.54,52.85,0.0,3.9
50,1982,33,0.2343,298.923,52.72,51.46,52.09,0.05,5.1
51,1982,34,0.2301,298.877,53.27,49.28,51.28,0.05,5.98
52,1982,35,0.2227,298.532,53.99,41.95,47.97,0.21,10.76
53,1982,36,0.2134,298.284,54.47,25.99,40.23,0.88,31.67
54,1982,37,0.1976,297.087,52.43,19.53,35.98,1.82,47.69
