,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.173,294.404,25.3,68.39,46.85,0.16,18.13
1,1981,36,0.1714,294.336,30.44,57.57,44.0,0.72,25.76
2,1981,37,0.1701,293.905,35.72,48.28,42.0,1.07,31.85
3,1981,38,0.1679,292.983,40.1,42.66,41.38,0.95,33.68
4,1981,39,0.1659,291.558,44.52,38.81,41.66,0.8,31.21
5,1981,40,0.1624,289.58,48.58,35.94,42.26,0.72,27.51
6,1981,41,0.1565,286.918,51.28,34.82,43.05,0.56,25.84
7,1981,42,0.1484,283.594,52.7,35.91,44.3,0.2,23.1
8,1981,43,0.1337,279.89,50.99,37.31,44.15,0.08,24.97
9,1981,44,0.1142,275.833,47.18,41.85,44.51,0.24,24.61
10,1981,45,0.0931,271.627,42.51,48.67,45.59,0.2,22.98
11,1981,46,0.0783,267.682,40.53,54.8,47.66,0.32,19.17
12,1981,47,0.0715,264.827,41.25,57.55,49.4,0.2,17.06
13,1981,48,0.0658,263.383,41.49,55.85,48.67,0.24,18.57
14,1981,49,0.0603,262.606,39.82,53.2,46.51,0.36,20.83
15,1981,50,0.0582,261.736,41.85,51.54,46.69,0.28,20.95
16,1981,51,0.0546,261.335,41.94,49.55,45.74,0.04,22.42
17,1981,52,0.0505,261.764,40.93,43.63,42.28,0.16,31.01
18,1982,1,0.0478,262.999,55.07,28.25,41.66,0.6,30.82
19,1982,2,0.0458,264.216,57.38,22.97,40.18,0.52,32.33
20,1982,3,0.0443,264.818,57.28,22.31,39.79,0.4,32.13
21,1982,4,0.0401,265.16,49.89,26.49,38.19,0.28,37.81
22,1982,5,0.0361,265.268,41.24,33.15,37.2,0.12,41.51
23,1982,6,0.0338,265.646,34.67,38.21,36.44,0.08,46.16
24,1982,7,0.0329,266.224,28.12,42.55,35.33,0.0,53.04
25,1982,8,0.0348,267.586,25.19,43.65,34.42,0.0,58.01
26,1982,9,0.0356,269.008,21.6,45.98,33.79,0.0,59.92
27,1982,10,0.039,271.069,19.46,47.07,33.26,0.08,63.46
28,1982,11,0.0492,273.818,21.29,45.2,33.25,0.0,63.47
29,1982,12,0.0607,277.079,22.99,42.95,32.97,0.08,63.97
30,1982,13,0.0713,279.76,23.65,41.56,32.6,0.16,65.08
31,1982,14,0.0806,281.803,24.16,40.79,32.48,0.64,65.59
32,1982,15,0.0849,282.742,22.38,41.3,31.84,0.6,69.65
33,1982,16,0.0981,283.728,19.21,54.71,36.96,0.32,47.64
34,1982,17,0.116,284.633,17.23,66.46,41.84,0.08,29.64
35,1982,18,0.1382,286.664,17.05,71.98,44.51,0.04,21.33
36,1982,19,0.1656,289.732,18.46,70.97,44.71,0.16,19.39
37,1982,20,0.1892,291.832,16.9,70.34,43.62,0.16,22.37
38,1982,21,0.2081,293.055,18.97,69.36,44.16,0.12,20.42
39,1982,22,0.2214,293.711,21.18,70.28,45.73,0.0,14.74
40,1982,23,0.2275,294.054,22.01,72.19,47.1,0.04,11.16
41,1982,24,0.2327,294.645,22.9,72.41,47.65,0.04,9.42
42,1982,25,0.237,294.814,23.28,76.12,49.7,0.04,7.31
43,1982,26,0.2394,295.06,23.81,78.4,51.1,0.04,5.36
44,1982,27,0.2382,295.451,24.1,78.34,51.22,0.04,5.05
45,1982,28,0.2341,295.556,24.35,78.24,51.3,0.0,4.37
46,1982,29,0.2391,296.24,27.71,73.93,50.82,0.0,5.48
47,1982,30,0.2428,297.102,38.93,67.37,53.15,0.04,5.05
48,1982,31,0.243,297.916,41.93,61.57,51.75,0.04,6.99
49,1982,32,0.2415,298.668,45.39,54.62,50.0,0.08,9.42
50,1982,33,0.2391,299.115,47.91,49.15,48.53,0.08,12.12
51,1982,34,0.2341,299.217,49.23,44.22,46.72,0.44,16.09
52,1982,35,0.2253,299.079,50.04,35.54,42.79,1.27,25.35
53,1982,36,0.2116,298.641,49.67,23.23,36.44,3.5,44.38
54,1982,37,0.1924,297.541,46.18,18.22,32.2,6.2,60.19
55,1982,38,0.1747,295.964,42.63,17.41,30.02,8.42,68.97
56,1982,39,0.1555,293.733,37.91,20.88,29.39,8.3,71.95
57,1982,40,0.1325,291.322,31.85,22.96,27.41,11.12,77.47
58,1982,41,0.1115,289.378,27.03,17.81,22.42,22.73,89.27
59,1982,42,0.096,286.896,25.11,15.62,20.36,28.71,94.51
60,1982,43,0.082,284.014,23.86,14.52,19.19,32.8,96.14
61,1982,44,0.0693,281.483,22.6,13.14,17.87,38.97,97.34
62,1982,45,0.0567,279.157,20.98,12.51,16.74,44.97,97.54
63,1982,46,0.0464,275.924,19.38,16.19,17.78,39.92,96.34
64,1982,47,0.039,272.104,17.39,23.37,20.38,31.25,92.13
65,1982,48,0.0351,268.294,17.31,32.47,24.89,19.56,81.99
66,1982,49,0.0327,265.489,16.64,39.84,28.24,14.31,73.52
67,1982,50,0.0305,262.741,16.24,47.53,31.88,8.67,64.69
