,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1821,288.421,11.12,83.92,47.52,0.04,10.48
1,1981,36,0.1901,289.112,18.66,69.14,43.9,0.44,22.92
2,1981,37,0.1967,289.297,28.32,53.1,40.71,0.95,33.04
3,1981,38,0.2017,288.85,39.03,41.38,40.2,0.99,33.56
4,1981,39,0.2019,287.596,47.91,32.59,40.25,0.56,32.01
5,1981,40,0.1974,285.573,55.26,26.96,41.11,0.44,29.98
6,1981,41,0.185,282.725,59.57,27.99,43.78,0.2,21.57
7,1981,42,0.1667,279.337,61.59,34.04,47.81,0.12,13.26
8,1981,43,0.1442,275.662,62.17,39.84,51.0,0.12,8.94
9,1981,44,0.1184,271.435,59.23,47.15,53.19,0.08,6.55
10,1981,45,0.0946,266.792,54.52,56.26,55.39,0.12,6.16
11,1981,46,0.0769,262.682,51.57,61.8,56.68,0.12,7.78
12,1981,47,0.0646,259.599,47.94,64.15,56.04,0.44,10.52
13,1981,48,0.0572,257.378,46.61,65.3,55.96,0.6,12.15
14,1981,49,0.0506,255.704,42.85,67.07,54.96,0.75,12.71
15,1981,50,0.0477,254.713,44.42,67.39,55.9,0.68,12.07
16,1981,51,0.0449,254.348,47.65,65.12,56.38,0.56,11.28
17,1981,52,0.0405,254.329,49.22,58.5,53.86,0.2,11.0
18,1982,1,0.0367,255.046,52.68,45.31,48.99,0.36,17.24
19,1982,2,0.0346,256.45,52.51,36.63,44.57,0.32,23.51
20,1982,3,0.0334,257.827,51.49,32.8,42.15,0.16,27.28
21,1982,4,0.0326,259.325,50.24,32.12,41.18,0.12,27.44
22,1982,5,0.0304,260.227,44.99,36.03,40.51,0.04,27.16
23,1982,6,0.0277,261.03,35.99,41.04,38.51,0.0,33.68
24,1982,7,0.0273,262.398,28.52,43.27,35.89,0.0,46.43
25,1982,8,0.0293,264.068,25.34,43.7,34.52,0.04,55.24
26,1982,9,0.0307,265.64,22.73,45.81,34.27,0.04,57.94
27,1982,10,0.0348,267.689,21.77,47.09,34.43,0.08,55.68
28,1982,11,0.0428,270.221,22.42,46.85,34.63,0.04,54.77
29,1982,12,0.0551,272.978,24.99,46.9,35.95,0.04,46.15
30,1982,13,0.0655,275.026,26.16,49.26,37.71,0.0,37.85
31,1982,14,0.0698,276.374,23.56,52.92,38.24,0.04,36.78
32,1982,15,0.0772,277.191,20.19,59.46,39.83,0.12,31.65
33,1982,16,0.0948,278.473,19.09,70.41,44.75,0.12,16.28
34,1982,17,0.1159,280.193,18.11,77.26,47.69,0.12,10.21
35,1982,18,0.1505,282.819,21.77,79.66,50.71,0.0,5.44
36,1982,19,0.1986,285.849,27.94,78.58,53.26,0.0,4.13
37,1982,20,0.2489,288.71,34.8,70.16,52.48,0.0,6.04
38,1982,21,0.2878,290.388,40.8,68.55,54.67,0.0,4.45
39,1982,22,0.3101,291.1,42.72,68.48,55.6,0.0,4.01
40,1982,23,0.3156,291.442,40.07,69.11,54.59,0.0,4.65
41,1982,24,0.3079,291.097,33.39,74.22,53.81,0.0,4.96
42,1982,25,0.2958,290.858,25.78,78.29,52.04,0.0,5.28
43,1982,26,0.288,290.993,20.99,80.19,50.59,0.04,6.99
44,1982,27,0.278,291.066,18.04,81.25,49.64,0.04,8.5
45,1982,28,0.2773,291.64,19.66,79.46,49.56,0.04,7.94
46,1982,29,0.2811,292.374,23.19,78.37,50.78,0.0,6.71
47,1982,30,0.283,292.942,29.23,78.26,53.75,0.0,4.57
48,1982,31,0.2859,293.6,33.18,75.54,54.35,0.04,3.61
49,1982,32,0.2858,294.209,36.06,69.73,52.9,0.04,5.04
50,1982,33,0.2862,294.607,40.19,63.81,52.0,0.04,6.16
51,1982,34,0.2865,294.348,45.29,58.2,51.74,0.0,6.95
52,1982,35,0.2833,293.828,50.16,49.22,49.69,0.16,9.37
53,1982,36,0.2735,293.372,53.66,33.3,43.48,0.36,22.28
54,1982,37,0.2519,291.8,52.72,30.5,41.61,0.56,27.76
55,1982,38,0.226,289.597,50.13,35.27,42.7,0.68,25.46
56,1982,39,0.1943,287.11,44.29,37.62,40.96,1.03,31.89
57,1982,40,0.1606,284.236,37.22,38.85,38.03,2.3,42.42
58,1982,41,0.1302,281.373,30.93,39.5,35.22,5.56,51.31
59,1982,42,0.1098,278.843,29.33,37.88,33.6,6.39,56.55
60,1982,43,0.0948,276.275,31.09,35.38,33.24,5.72,58.02
61,1982,44,0.0853,274.554,35.43,26.89,31.16,6.95,64.38
62,1982,45,0.0741,272.948,37.05,19.2,28.12,12.71,74.66
63,1982,46,0.0649,270.852,39.24,15.32,27.28,13.62,76.61
64,1982,47,0.0558,267.969,37.54,17.4,27.47,13.38,76.21
65,1982,48,0.0491,265.113,36.01,22.32,29.16,11.0,71.41
66,1982,49,0.0448,262.768,34.82,27.71,31.26,9.02,64.61
67,1982,50,0.0414,260.461,35.32,34.33,34.82,6.75,55.0
68,1982,51,0.0397,258.234,39.94,42.14,41.04,2.94,38.96
69,1982,52,0.0379,257.009,45.0,43.25,44.12,1.31,29.43
70,1983,1,0.0362,256.954,51.49,35.26,43.38,0.79,30.22
71,1983,2,0.0347,257.219,52.33,32.79,42.56,0.87,30.98
72,1983,3,0.0344,257.27,52.69,35.14,43.91,0.6,26.73
73,1983,4,0.034,257.086,52.11,41.78,46.94,0.24,19.3
74,1983,5,0.0319,257.123,46.88,49.45,48.17,0.08,14.77
75,1983,6,0.0288,256.817,37.16,58.9,48.03,0.0,13.07
76,1983,7,0.0274,257.513,28.52,62.84,45.68,0.0,15.77
77,1983,8,0.0277,259.327,23.86,61.9,42.88,0.0,21.45
78,1983,9,0.0291,261.36,21.5,61.59,41.54,0.04,24.82
79,1983,10,0.0338,264.156,21.11,60.14,40.62,0.04,27.96
80,1983,11,0.0398,267.439,20.59,57.09,38.84,0.08,35.86
81,1983,12,0.0491,270.812,21.63,54.75,38.19,0.04,39.28
82,1983,13,0.0666,275.187,26.86,48.01,37.43,0.2,42.53
83,1983,14,0.0855,278.926,31.87,41.13,36.5,0.32,47.97
84,1983,15,0.1087,282.391,35.8,35.13,35.47,0.32,51.51
85,1983,16,0.1313,285.045,36.39,35.25,35.82,0.95,49.88
86,1983,17,0.1604,288.011,37.71,31.5,34.61,1.91,54.53
87,1983,18,0.1955,290.627,40.19,29.93,35.06,1.51,53.14
88,1983,19,0.2314,292.09,41.15,35.81,38.48,0.99,38.28
89,1983,20,0.264,293.599,40.45,37.7,39.08,0.83,34.59
90,1983,21,0.2861,294.832,40.18,37.27,38.72,1.27,35.23
91,1983,22,0.2998,295.126,38.54,39.55,39.05,1.15,33.36
92,1983,23,0.3046,294.939,35.33,43.85,39.59,0.95,31.73
93,1983,24,0.299,294.635,29.2,48.19,38.7,0.87,35.54
94,1983,25,0.2928,294.908,23.98,47.99,35.99,1.83,46.39
95,1983,26,0.2891,295.56,21.0,44.9,32.95,3.81,58.22
96,1983,27,0.2837,296.103,20.23,40.4,30.31,6.75,68.15
97,1983,28,0.2709,296.198,16.97,41.04,29.0,8.98,72.16
