,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.2247,283.823,20.44,85.68,53.06,0.0,2.77
1,1981,36,0.2367,285.626,30.82,67.23,49.02,0.11,9.36
2,1981,37,0.2429,286.597,40.19,46.31,43.25,0.28,22.59
3,1981,38,0.2436,286.8,47.44,32.14,39.79,0.44,33.06
4,1981,39,0.2365,285.955,51.95,26.32,39.14,0.33,35.44
5,1981,40,0.2209,284.069,53.12,27.38,40.25,0.44,31.12
6,1981,41,0.1951,280.992,49.78,35.44,42.61,0.33,25.03
7,1981,42,0.1631,277.001,41.98,47.96,44.97,0.22,19.99
8,1981,43,0.13,272.414,32.47,62.0,47.23,0.22,17.22
9,1981,44,0.1031,268.063,25.11,71.32,48.22,0.17,15.56
10,1981,45,0.084,264.062,22.0,76.7,49.35,0.0,12.29
11,1981,46,0.0706,260.543,22.05,78.78,50.42,0.0,10.35
12,1981,47,0.0644,257.989,27.14,79.57,53.35,0.0,7.25
13,1981,48,0.0608,256.322,32.76,78.55,55.66,0.0,6.53
14,1981,49,0.0563,254.703,31.27,80.21,55.74,0.0,6.87
15,1981,50,0.055,253.446,31.19,82.33,56.76,0.11,6.7
16,1981,51,0.0555,252.999,34.51,82.58,58.54,0.0,6.26
17,1981,52,0.058,254.027,41.06,75.44,58.25,0.05,7.92
18,1982,1,0.062,256.138,50.1,61.12,55.61,0.22,10.52
19,1982,2,0.0655,258.691,53.74,45.15,49.44,0.17,15.45
20,1982,3,0.0685,260.956,56.1,34.38,45.24,0.22,19.55
21,1982,4,0.0708,263.339,55.97,27.07,41.52,0.44,27.46
22,1982,5,0.0714,265.253,50.58,24.59,37.58,0.5,41.36
23,1982,6,0.0729,266.778,45.83,24.1,34.96,0.55,52.88
24,1982,7,0.0752,268.164,42.19,24.33,33.26,0.55,61.35
25,1982,8,0.082,269.993,42.72,23.78,33.25,0.44,61.3
26,1982,9,0.0878,271.836,42.21,27.89,35.05,0.11,50.83
27,1982,10,0.0926,273.436,40.72,28.07,34.39,0.17,54.82
28,1982,11,0.0994,274.986,38.98,28.5,33.74,0.05,57.97
29,1982,12,0.1079,276.62,37.85,30.0,33.92,0.22,56.42
