,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1835,284.939,6.51,87.91,47.21,0.0,10.46
1,1981,36,0.1913,285.715,12.41,75.6,44.01,0.42,22.73
2,1981,37,0.1959,285.928,20.52,59.67,40.09,1.63,34.73
3,1981,38,0.2013,285.698,31.11,44.74,37.93,2.18,42.07
4,1981,39,0.2016,284.651,39.73,35.53,37.63,2.37,42.54
5,1981,40,0.1975,282.932,47.33,29.63,38.48,1.67,39.38
6,1981,41,0.1853,280.457,52.54,30.68,41.61,0.93,28.45
7,1981,42,0.1647,277.478,54.17,35.57,44.87,0.47,20.92
8,1981,43,0.1399,274.12,53.92,40.18,47.05,0.37,16.88
9,1981,44,0.1126,270.116,50.24,47.95,49.09,0.32,14.41
10,1981,45,0.0918,265.621,49.51,58.27,53.89,0.14,9.99
11,1981,46,0.0762,261.494,49.09,64.97,57.03,0.14,8.46
12,1981,47,0.0635,257.969,45.59,69.47,57.53,0.19,10.14
13,1981,48,0.0569,255.424,47.08,71.56,59.32,0.42,9.44
14,1981,49,0.0517,253.577,46.48,73.25,59.86,0.47,9.39
15,1981,50,0.0493,252.298,49.31,74.07,61.69,0.56,7.86
16,1981,51,0.0473,251.881,51.78,72.06,61.92,0.42,7.58
17,1981,52,0.0439,252.193,49.63,64.75,57.19,0.42,10.79
18,1982,1,0.0413,253.145,50.44,55.15,52.79,0.74,15.16
19,1982,2,0.0392,254.291,50.04,47.34,48.69,0.65,19.06
20,1982,3,0.0376,255.442,50.42,41.94,46.18,0.56,21.9
21,1982,4,0.0371,257.276,52.84,35.65,44.24,0.32,24.03
22,1982,5,0.035,258.318,49.45,36.52,42.99,0.47,24.08
23,1982,6,0.0312,258.974,38.18,43.06,40.62,0.32,30.54
24,1982,7,0.0301,260.301,28.99,48.04,38.51,0.05,37.47
25,1982,8,0.0319,262.164,24.64,49.98,37.31,0.0,40.31
26,1982,9,0.0334,264.182,21.8,51.76,36.78,0.05,41.61
27,1982,10,0.0376,266.657,21.5,50.0,35.74,0.05,46.77
28,1982,11,0.0451,269.272,22.02,47.54,34.78,0.09,52.67
29,1982,12,0.0559,271.89,24.2,46.27,35.24,0.0,50.77
30,1982,13,0.0653,273.963,24.53,47.74,36.14,0.0,45.98
31,1982,14,0.0686,275.29,21.26,51.34,36.3,0.05,47.09
32,1982,15,0.076,276.077,18.99,57.13,38.06,0.09,41.75
33,1982,16,0.0928,277.62,14.39,72.79,43.59,0.0,18.69
34,1982,17,0.111,279.467,12.32,77.98,45.15,0.0,16.23
35,1982,18,0.1427,281.853,15.22,77.92,46.57,0.0,12.97
36,1982,19,0.183,284.285,18.71,75.29,47.0,0.0,13.11
37,1982,20,0.23,286.922,21.23,67.21,44.22,0.32,21.15
38,1982,21,0.2678,288.318,25.04,66.65,45.85,0.09,17.53
39,1982,22,0.2935,288.902,27.01,67.01,47.01,0.14,15.11
40,1982,23,0.305,289.205,26.45,68.72,47.58,0.09,13.95
41,1982,24,0.3029,288.79,22.41,75.2,48.8,0.09,10.37
42,1982,25,0.2977,288.55,18.28,79.55,48.92,0.05,9.25
43,1982,26,0.2951,288.515,16.01,81.75,48.88,0.0,8.65
44,1982,27,0.2918,288.606,15.19,83.29,49.24,0.0,6.32
45,1982,28,0.2998,289.403,18.61,81.49,50.05,0.0,5.53
46,1982,29,0.311,290.398,24.46,79.05,51.75,0.0,4.09
47,1982,30,0.3192,290.992,33.98,77.65,55.81,0.0,2.23
48,1982,31,0.3283,291.618,42.16,73.55,57.85,0.0,0.98
49,1982,32,0.329,292.138,46.34,67.67,57.01,0.0,1.35
