,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.2427,285.382,24.98,79.32,52.15,0.0,6.12
1,1981,36,0.253,287.091,37.88,59.69,48.79,0.08,13.17
2,1981,37,0.2515,287.68,46.17,41.98,44.08,0.17,19.97
3,1981,38,0.2435,287.545,49.28,31.75,40.51,0.25,29.95
4,1981,39,0.2292,286.536,49.73,27.15,38.44,0.92,38.0
5,1981,40,0.2079,284.621,49.31,27.79,38.55,0.5,37.08
6,1981,41,0.1805,281.667,46.58,35.46,41.02,0.17,29.7
7,1981,42,0.1517,277.823,42.0,47.13,44.56,0.17,19.46
8,1981,43,0.1228,272.786,36.5,62.02,49.26,0.08,10.49
9,1981,44,0.0967,267.846,31.71,70.6,51.16,0.08,8.14
10,1981,45,0.0758,263.184,28.74,76.1,52.42,0.0,7.89
11,1981,46,0.0602,258.445,27.92,81.37,54.65,0.0,5.37
12,1981,47,0.0528,254.589,34.48,85.36,59.92,0.0,2.52
13,1981,48,0.0472,252.113,41.15,87.01,64.08,0.0,1.17
14,1981,49,0.0419,250.784,39.88,86.4,63.14,0.0,1.93
15,1981,50,0.041,250.251,43.17,84.9,64.04,0.08,1.76
16,1981,51,0.0401,250.432,46.82,81.81,64.32,0.0,2.27
17,1981,52,0.0392,251.812,49.08,73.11,61.09,0.17,3.27
18,1982,1,0.0384,254.393,50.76,57.98,54.37,0.0,6.38
19,1982,2,0.0376,257.004,50.14,44.39,47.26,0.0,13.09
20,1982,3,0.0356,258.745,47.91,37.54,42.72,0.0,20.22
21,1982,4,0.0324,260.021,41.36,36.15,38.75,0.0,31.96
22,1982,5,0.0294,261.363,32.66,35.95,34.3,0.0,56.46
23,1982,6,0.0268,262.557,25.81,36.29,31.05,0.0,76.76
24,1982,7,0.0263,263.268,22.19,39.3,30.75,0.08,79.11
25,1982,8,0.0271,264.487,20.77,40.83,30.8,0.08,78.78
26,1982,9,0.0274,266.11,19.16,46.2,32.68,0.0,68.29
27,1982,10,0.029,267.981,18.09,46.5,32.29,0.0,69.46
28,1982,11,0.0342,270.172,18.4,44.99,31.69,0.08,71.06
29,1982,12,0.0429,272.595,19.49,43.13,31.31,0.25,73.49
30,1982,13,0.0531,274.676,20.57,40.56,30.57,0.42,76.09
31,1982,14,0.0642,276.315,23.1,38.0,30.55,1.01,75.0
32,1982,15,0.0727,277.113,24.58,38.06,31.32,1.17,69.38
