,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.327,285.992,34.24,71.9,53.07,0.0,5.77
1,1981,36,0.328,286.73,40.02,56.94,48.48,0.37,12.76
2,1981,37,0.319,286.587,44.6,46.01,45.3,0.37,20.95
3,1981,38,0.3041,285.984,46.33,39.95,43.14,0.65,25.79
4,1981,39,0.2872,284.919,48.07,36.51,42.29,0.93,29.14
5,1981,40,0.2668,283.421,49.61,34.7,42.16,0.56,29.89
6,1981,41,0.2432,281.341,50.12,35.87,42.99,0.65,26.54
7,1981,42,0.2141,278.526,47.64,42.4,45.02,0.09,20.3
8,1981,43,0.1843,274.709,44.38,52.93,48.65,0.0,12.94
9,1981,44,0.1514,270.533,39.2,63.67,51.44,0.0,9.59
10,1981,45,0.1235,266.398,33.08,71.31,52.2,0.0,11.45
11,1981,46,0.0963,261.389,24.7,80.17,52.43,0.09,10.8
12,1981,47,0.0786,256.744,21.5,86.62,54.06,0.19,7.54
13,1981,48,0.0685,253.282,23.02,90.29,56.66,0.0,4.84
14,1981,49,0.0596,250.932,22.21,92.34,57.28,0.0,4.0
15,1981,50,0.0551,249.338,23.86,93.75,58.81,0.0,2.61
16,1981,51,0.0509,248.713,25.1,93.74,59.42,0.0,1.58
17,1981,52,0.0489,249.727,25.9,90.05,57.97,0.0,3.63
18,1982,1,0.0472,251.899,25.17,80.4,52.78,0.09,9.03
19,1982,2,0.0453,254.382,22.6,67.95,45.27,0.28,24.58
20,1982,3,0.0456,257.177,22.08,53.81,37.95,1.02,43.95
21,1982,4,0.0456,259.865,20.89,41.85,31.37,3.63,67.13
22,1982,5,0.0453,262.519,19.57,33.42,26.5,10.99,81.38
23,1982,6,0.0457,265.038,18.81,29.12,23.97,18.25,87.15
24,1982,7,0.0491,267.034,19.62,27.78,23.7,17.78,88.55
25,1982,8,0.0552,269.023,21.8,26.16,23.98,15.18,89.11
26,1982,9,0.0623,271.389,22.92,32.58,27.75,6.52,82.03
27,1982,10,0.0729,273.978,25.6,30.52,28.06,4.66,81.56
28,1982,11,0.0833,275.863,26.42,32.54,29.48,2.42,78.03
29,1982,12,0.0959,277.549,27.76,32.99,30.37,1.96,75.61
30,1982,13,0.1077,278.763,28.39,31.2,29.8,2.33,78.21
31,1982,14,0.1185,279.185,28.36,32.86,30.61,2.05,73.84
32,1982,15,0.126,278.835,27.66,36.67,32.16,1.02,67.97
33,1982,16,0.1416,279.032,17.33,56.52,36.92,0.65,44.32
34,1982,17,0.1646,279.962,17.45,60.99,39.22,0.56,35.2
35,1982,18,0.1964,281.668,20.51,59.85,40.18,0.28,28.86
36,1982,19,0.2469,284.396,30.41,50.66,40.53,0.37,27.84
37,1982,20,0.2982,286.955,36.4,44.02,40.21,0.28,28.58
38,1982,21,0.3335,288.165,42.58,40.69,41.63,0.28,26.07
39,1982,22,0.3525,288.922,45.11,38.61,41.86,0.47,25.7
