,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.2023,287.95,9.85,73.75,41.8,1.2,28.42
1,1981,36,0.206,288.869,15.88,57.27,36.57,4.61,46.74
2,1981,37,0.2075,289.075,23.02,43.82,33.42,7.04,57.49
3,1981,38,0.2057,288.606,29.43,35.12,32.28,8.32,60.69
4,1981,39,0.201,287.344,35.0,32.5,33.75,6.15,56.76
5,1981,40,0.19,285.334,39.29,33.65,36.47,3.07,47.97
6,1981,41,0.1718,282.506,40.7,38.1,39.4,1.28,37.9
7,1981,42,0.1487,279.063,39.34,43.96,41.65,1.02,31.92
8,1981,43,0.1234,274.927,36.0,52.06,44.03,0.56,26.93
9,1981,44,0.0999,270.417,32.65,60.08,46.37,0.73,23.26
10,1981,45,0.0804,266.03,32.0,65.28,48.64,0.85,20.4
11,1981,46,0.0667,262.464,34.47,66.81,50.64,0.68,18.27
12,1981,47,0.0616,259.929,43.05,65.95,54.5,0.34,14.09
13,1981,48,0.0575,258.759,50.71,61.15,55.93,0.43,12.25
14,1981,49,0.0524,258.083,51.55,56.4,53.98,0.56,15.19
15,1981,50,0.0504,257.767,55.36,51.34,53.35,0.77,17.16
16,1981,51,0.0497,257.731,58.12,46.75,52.43,0.77,19.03
17,1981,52,0.051,258.52,63.01,39.14,51.07,0.3,18.22
18,1982,1,0.0535,260.397,73.35,25.72,49.53,0.09,14.09
19,1982,2,0.057,262.728,76.35,17.13,46.74,0.04,13.96
20,1982,3,0.0589,264.366,76.93,13.69,45.31,0.0,13.57
21,1982,4,0.058,265.869,73.35,13.77,43.56,0.0,17.11
22,1982,5,0.056,266.747,67.82,17.46,42.64,0.0,19.68
23,1982,6,0.0545,267.658,61.63,21.09,41.36,0.0,23.13
24,1982,7,0.0523,268.4,52.26,25.39,38.82,0.0,32.99
25,1982,8,0.0526,269.301,45.8,29.59,37.69,0.0,37.43
26,1982,9,0.0512,270.136,39.22,34.28,36.75,0.0,39.86
27,1982,10,0.0497,271.344,32.53,38.12,35.32,0.0,48.36
28,1982,11,0.0516,272.879,27.97,39.65,33.81,0.0,58.13
29,1982,12,0.0566,274.7,24.24,42.53,33.39,0.04,61.08
30,1982,13,0.0619,275.831,19.84,45.92,32.88,0.38,63.17
31,1982,14,0.0682,276.51,16.74,50.0,33.37,0.94,60.35
32,1982,15,0.0728,276.241,13.57,59.05,36.31,0.77,48.91
33,1982,16,0.0897,277.412,10.6,76.26,43.43,0.38,22.66
34,1982,17,0.1163,279.845,11.88,78.43,45.16,0.47,16.86
35,1982,18,0.1542,283.693,17.24,72.09,44.67,0.26,19.8
36,1982,19,0.1991,287.506,23.46,62.65,43.05,0.26,23.73
37,1982,20,0.2383,289.785,21.99,59.57,40.78,0.21,28.0
38,1982,21,0.27,290.687,24.8,59.06,41.93,0.09,24.33
39,1982,22,0.2893,290.872,25.06,60.8,42.93,0.04,21.34
40,1982,23,0.2989,290.85,23.86,63.78,43.82,0.04,18.48
41,1982,24,0.3034,290.79,22.92,67.13,45.02,0.09,15.79
42,1982,25,0.3085,290.779,23.54,70.12,46.83,0.0,11.44
43,1982,26,0.3125,290.872,24.31,71.3,47.8,0.04,10.67
44,1982,27,0.3171,291.228,27.31,69.75,48.53,0.04,10.8
45,1982,28,0.3201,291.753,31.33,68.13,49.73,0.04,9.01
46,1982,29,0.3295,292.709,38.05,61.43,49.74,0.0,8.66
47,1982,30,0.3314,293.442,41.74,55.63,48.69,0.04,9.52
48,1982,31,0.3297,294.125,43.15,50.84,46.99,0.13,12.55
49,1982,32,0.3257,294.591,44.22,46.04,45.13,0.26,18.01
50,1982,33,0.3231,294.88,46.84,40.76,43.8,0.47,21.9
51,1982,34,0.3199,294.95,49.56,32.74,41.15,1.07,29.71
52,1982,35,0.3098,294.611,51.04,23.14,37.09,1.79,42.51
53,1982,36,0.2933,294.197,52.53,11.76,32.14,3.71,62.48
54,1982,37,0.2671,292.889,49.8,10.28,30.04,4.91,71.75
55,1982,38,0.2379,290.88,44.34,14.24,29.29,6.91,73.54
56,1982,39,0.2035,288.163,35.69,24.59,30.14,7.21,69.82
57,1982,40,0.1689,285.605,27.85,31.26,29.55,9.43,69.23
58,1982,41,0.1383,283.836,21.98,26.98,24.48,19.63,82.54
59,1982,42,0.1191,282.175,21.88,19.24,20.56,32.18,90.31
60,1982,43,0.1022,280.201,22.55,13.98,18.26,39.99,94.92
61,1982,44,0.087,278.15,23.31,10.93,17.12,44.69,96.5
62,1982,45,0.0699,275.645,22.78,10.79,16.79,45.75,96.84
63,1982,46,0.0583,272.997,25.55,11.37,18.46,37.77,95.18
64,1982,47,0.0507,269.975,29.69,13.93,21.81,25.35,89.71
65,1982,48,0.0453,266.943,33.9,18.06,25.98,14.04,81.35
66,1982,49,0.0411,264.637,34.65,21.06,27.85,11.52,74.99
67,1982,50,0.0375,262.208,34.71,26.11,30.41,9.26,67.05
68,1982,51,0.0376,260.237,38.69,31.77,35.23,4.44,52.58
69,1982,52,0.0357,259.015,38.8,35.61,37.21,2.47,46.14
70,1983,1,0.0328,258.739,38.33,33.22,35.77,2.47,50.4
71,1983,2,0.0305,259.157,35.24,32.25,33.74,2.22,57.49
72,1983,3,0.0305,259.284,36.77,34.47,35.62,0.94,49.98
73,1983,4,0.0329,259.383,40.02,39.86,39.94,0.13,34.23
74,1983,5,0.0342,259.494,40.66,46.63,43.65,0.0,22.45
75,1983,6,0.0328,259.215,36.54,54.07,45.3,0.0,17.88
76,1983,7,0.0326,260.114,31.91,56.94,44.43,0.0,17.75
77,1983,8,0.0339,262.101,29.03,56.61,42.82,0.0,19.12
78,1983,9,0.0374,264.319,28.45,56.03,42.24,0.0,18.52
79,1983,10,0.0442,267.47,28.62,52.61,40.62,0.0,24.33
80,1983,11,0.0517,270.075,28.09,50.2,39.14,0.0,32.35
81,1983,12,0.064,273.038,28.83,48.66,38.74,0.0,35.13
82,1983,13,0.0819,276.727,32.42,42.51,37.47,0.13,42.08
83,1983,14,0.098,279.604,35.51,37.34,36.42,0.34,48.27
84,1983,15,0.1195,282.58,41.4,31.81,36.6,0.56,47.12
85,1983,16,0.147,285.053,42.94,36.38,39.66,0.34,35.25
86,1983,17,0.1805,287.657,44.8,35.58,40.19,0.34,32.78
87,1983,18,0.2209,289.774,47.94,37.2,42.57,0.17,24.07
88,1983,19,0.2565,290.59,48.61,44.7,46.66,0.0,11.95
89,1983,20,0.2822,291.428,37.08,50.6,43.84,0.0,15.96
90,1983,21,0.3035,292.234,37.33,49.92,43.62,0.13,18.65
91,1983,22,0.3185,292.552,36.72,50.25,43.49,0.26,19.08
92,1983,23,0.3285,292.717,36.07,51.33,43.7,0.3,19.46
93,1983,24,0.3247,291.886,31.59,59.12,45.36,0.09,16.52
94,1983,25,0.3188,291.576,27.56,63.88,45.72,0.3,16.48
95,1983,26,0.3194,292.251,26.89,59.7,43.29,0.56,23.22
96,1983,27,0.3144,292.421,25.96,59.06,42.51,0.6,26.5
97,1983,28,0.3026,292.039,23.69,65.07,44.38,0.34,22.71
98,1983,29,0.2906,291.736,21.55,70.21,45.88,0.21,19.93
99,1983,30,0.2799,291.474,17.34,73.99,45.66,0.21,18.1
100,1983,31,0.2842,291.809,20.57,73.03,46.8,0.21,16.3
101,1983,32,0.288,292.335,24.5,68.05,46.28,0.38,16.94
102,1983,33,0.2899,293.04,28.49,59.3,43.89,0.77,23.73
103,1983,34,0.2931,293.655,34.76,46.15,40.46,1.96,33.42
104,1983,35,0.2954,294.247,43.59,26.75,35.17,4.27,49.98
105,1983,36,0.2873,293.97,49.47,13.97,31.72,6.19,62.23
106,1983,37,0.2706,292.835,51.38,10.86,31.12,6.83,65.09
107,1983,38,0.2506,291.116,50.6,11.96,31.28,7.6,64.28
108,1983,39,0.2325,289.359,50.26,13.12,31.69,7.13,62.48
109,1983,40,0.2113,287.599,49.89,12.64,31.26,7.26,63.55
110,1983,41,0.1841,284.793,47.06,18.42,32.74,5.55,58.22
111,1983,42,0.1556,281.594,43.12,23.95,33.53,4.74,56.38
112,1983,43,0.1289,278.311,39.22,27.92,33.57,4.01,57.11
113,1983,44,0.1091,274.695,38.93,33.54,36.24,1.96,47.97
114,1983,45,0.0952,271.163,44.66,37.39,41.02,0.56,31.45
115,1983,46,0.083,268.232,52.16,37.81,44.98,0.21,19.33
116,1983,47,0.0736,266.149,58.83,34.92,46.88,0.09,14.13
117,1983,48,0.0675,264.912,65.54,29.41,47.47,0.09,13.19
118,1983,49,0.0599,263.596,63.74,27.08,45.41,0.17,18.14
119,1983,50,0.055,262.242,63.24,26.14,44.69,0.3,22.07
120,1983,51,0.0515,260.823,61.23,28.8,45.01,0.13,22.49
121,1983,52,0.0499,259.362,61.35,34.22,47.78,0.09,17.71
122,1984,1,0.0495,258.28,67.07,35.65,51.36,0.0,11.95
123,1984,2,0.0465,256.465,60.76,44.08,52.42,0.0,9.3
124,1984,3,0.0413,254.885,52.59,52.81,52.7,0.0,6.4
125,1984,4,0.0351,254.275,43.24,60.65,51.95,0.0,5.34
126,1984,5,0.0296,254.289,34.98,67.6,51.29,0.0,4.4
127,1984,6,0.0258,253.894,28.47,74.64,51.55,0.0,2.69
128,1984,7,0.0241,254.02,23.22,79.66,51.44,0.0,2.43
129,1984,8,0.0237,254.67,19.96,83.68,51.82,0.0,2.35
130,1984,9,0.0225,255.953,16.78,86.18,51.48,0.0,1.96
131,1984,10,0.0228,257.644,13.37,87.89,50.63,0.0,2.05
132,1984,11,0.028,260.42,12.4,85.17,48.78,0.0,5.16
133,1984,12,0.0381,264.539,12.65,79.52,46.09,0.0,10.29
134,1984,13,0.0486,268.788,11.62,72.5,42.06,0.0,24.84
