,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.2241,284.353,15.17,83.32,49.25,0.22,8.23
1,1981,36,0.2292,285.63,21.41,68.39,44.9,1.2,19.9
2,1981,37,0.2324,286.329,28.4,51.65,40.03,3.19,34.76
3,1981,38,0.2337,286.527,35.8,37.73,36.76,3.81,44.98
4,1981,39,0.2305,285.861,43.14,29.05,36.09,2.97,46.32
5,1981,40,0.2189,284.307,46.9,26.47,36.69,2.25,43.86
6,1981,41,0.1979,281.724,45.79,30.74,38.26,1.45,37.62
7,1981,42,0.1684,278.244,40.1,39.83,39.96,0.8,33.38
8,1981,43,0.137,274.302,32.79,50.51,41.65,0.54,30.16
9,1981,44,0.1098,270.417,26.37,57.72,42.04,0.76,31.86
10,1981,45,0.0906,266.83,24.03,61.03,42.53,1.09,31.28
11,1981,46,0.078,263.595,26.43,62.18,44.31,0.69,26.39
12,1981,47,0.0714,260.724,33.99,63.74,48.86,0.22,16.17
13,1981,48,0.0658,259.088,39.83,61.48,50.65,0.25,14.68
14,1981,49,0.0606,257.704,40.45,60.76,50.6,0.51,16.85
15,1981,50,0.0594,256.517,42.5,62.02,52.26,0.4,14.72
16,1981,51,0.0587,255.824,44.64,62.17,53.4,0.33,12.83
17,1981,52,0.0606,256.567,51.02,54.95,52.99,0.18,13.41
18,1982,1,0.0646,258.468,60.51,41.36,50.94,0.54,15.77
19,1982,2,0.0692,260.73,64.57,30.38,47.47,0.51,17.14
20,1982,3,0.0733,262.429,67.68,24.72,46.2,0.25,17.58
21,1982,4,0.0768,264.559,68.37,20.32,44.35,0.33,19.1
22,1982,5,0.078,266.083,63.81,20.91,42.36,0.25,22.62
23,1982,6,0.0786,267.407,57.5,23.17,40.34,0.29,26.31
24,1982,7,0.0785,268.643,51.17,24.95,38.06,0.33,34.43
25,1982,8,0.0812,269.932,47.75,26.61,37.18,0.0,38.67
26,1982,9,0.0822,271.215,43.68,28.81,36.24,0.07,43.17
27,1982,10,0.0829,272.53,39.6,30.61,35.11,0.07,50.63
28,1982,11,0.0874,274.002,36.27,32.38,34.33,0.07,55.09
29,1982,12,0.0938,275.366,33.52,36.61,35.06,0.0,50.85
30,1982,13,0.0985,276.429,29.9,39.75,34.82,0.11,51.97
31,1982,14,0.1028,277.232,26.8,42.5,34.65,0.36,53.42
32,1982,15,0.1066,277.463,24.15,47.27,35.71,0.4,49.22
33,1982,16,0.1223,278.64,12.92,69.76,41.34,0.29,28.6
34,1982,17,0.1459,280.56,13.73,72.79,43.26,0.29,22.07
35,1982,18,0.185,283.479,19.56,68.43,43.99,0.11,18.99
36,1982,19,0.2335,286.552,28.43,60.64,44.53,0.0,16.42
37,1982,20,0.2791,288.73,30.24,56.38,43.31,0.0,17.22
38,1982,21,0.3122,289.716,36.93,53.48,45.2,0.0,13.37
39,1982,22,0.3304,290.046,40.66,52.61,46.63,0.0,11.45
40,1982,23,0.3376,290.17,42.21,53.13,47.67,0.0,10.08
41,1982,24,0.3355,290.058,41.2,55.32,48.26,0.0,9.42
42,1982,25,0.332,289.903,39.69,58.83,49.26,0.0,7.86
43,1982,26,0.3295,289.929,38.77,60.16,49.46,0.04,7.79
44,1982,27,0.3319,290.395,40.8,58.49,49.65,0.04,8.12
45,1982,28,0.3389,291.147,45.44,55.64,50.54,0.0,7.86
46,1982,29,0.3493,292.019,51.85,50.72,51.28,0.0,7.07
47,1982,30,0.3509,292.455,52.68,48.81,50.74,0.0,6.67
48,1982,31,0.3516,292.894,54.64,45.95,50.29,0.0,6.85
49,1982,32,0.3453,292.839,53.65,46.03,49.84,0.0,7.72
50,1982,33,0.3438,292.757,55.48,43.63,49.56,0.04,7.28
51,1982,34,0.3444,292.824,58.56,33.97,46.26,0.11,12.72
52,1982,35,0.339,292.17,60.52,26.59,43.56,0.11,17.91
53,1982,36,0.3288,291.294,63.05,20.41,41.73,0.0,21.35
54,1982,37,0.3109,290.084,62.44,16.83,39.63,0.0,29.65
55,1982,38,0.2899,288.22,61.05,21.02,41.03,0.0,25.88
56,1982,39,0.2594,285.928,56.62,28.03,42.33,0.04,24.47
