,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1925,283.943,6.77,86.13,46.45,0.33,13.31
1,1981,36,0.2028,285.254,13.36,72.6,42.98,1.52,25.01
2,1981,37,0.2076,285.804,21.14,55.89,38.51,3.23,39.9
3,1981,38,0.2118,285.846,30.77,40.26,35.51,3.89,50.51
4,1981,39,0.2109,284.953,38.79,31.58,35.18,3.16,51.56
5,1981,40,0.204,283.261,45.26,27.95,36.6,2.08,46.62
6,1981,41,0.1908,280.611,49.14,32.01,40.58,0.96,32.62
7,1981,42,0.1709,277.268,50.1,40.65,45.38,0.36,20.66
8,1981,43,0.146,273.772,47.83,46.86,47.35,0.23,16.74
9,1981,44,0.1178,269.764,41.51,54.12,47.81,0.2,16.64
10,1981,45,0.097,266.195,39.27,58.14,48.71,0.07,16.44
11,1981,46,0.081,262.801,39.21,60.61,49.91,0.13,15.42
12,1981,47,0.0702,259.909,39.66,61.87,50.76,0.33,16.94
13,1981,48,0.0627,257.739,40.37,61.51,50.94,0.63,18.62
14,1981,49,0.0576,256.093,40.27,61.63,50.95,0.96,18.75
15,1981,50,0.0571,254.756,45.48,63.43,54.45,0.69,14.47
16,1981,51,0.0547,254.007,47.85,64.51,56.18,0.59,12.16
17,1981,52,0.052,254.273,49.06,60.94,55.0,0.56,12.98
18,1982,1,0.0519,255.674,54.43,49.19,51.81,0.86,14.99
19,1982,2,0.0514,257.086,54.97,40.44,47.7,0.82,19.24
20,1982,3,0.0501,258.098,52.67,37.34,45.01,0.69,22.9
21,1982,4,0.048,259.456,49.28,35.54,42.41,0.73,27.22
22,1982,5,0.0435,259.828,41.35,40.74,41.04,0.3,29.0
23,1982,6,0.0391,260.33,31.57,46.43,39.0,0.33,35.95
24,1982,7,0.0371,261.414,24.57,49.72,37.14,0.33,43.89
25,1982,8,0.0379,262.975,20.89,50.17,35.53,0.23,50.61
26,1982,9,0.0399,264.999,19.26,49.15,34.2,0.33,56.41
27,1982,10,0.0448,267.554,19.58,44.26,31.92,0.33,68.93
28,1982,11,0.0545,270.248,21.47,39.95,30.7,0.2,75.58
29,1982,12,0.0667,272.846,23.68,37.66,30.67,0.2,75.29
30,1982,13,0.077,275.001,24.43,37.19,30.81,0.43,73.44
31,1982,14,0.0842,276.652,23.67,37.52,30.59,0.76,74.0
32,1982,15,0.0921,277.717,22.97,40.86,31.91,0.59,69.13
33,1982,16,0.1086,279.373,12.66,62.88,37.77,0.3,42.64
34,1982,17,0.1263,281.116,10.34,69.87,40.11,0.3,33.18
35,1982,18,0.1574,283.474,12.63,69.91,41.27,0.36,29.0
36,1982,19,0.1968,285.827,15.82,67.38,41.6,0.33,27.48
37,1982,20,0.2394,287.906,18.62,62.66,40.64,0.53,30.05
38,1982,21,0.2761,289.017,23.1,61.79,42.44,0.43,24.51
39,1982,22,0.3022,289.547,26.92,60.72,43.82,0.23,21.88
40,1982,23,0.3161,289.791,28.21,61.54,44.87,0.26,19.24
41,1982,24,0.3195,289.663,26.89,65.98,46.43,0.17,14.66
42,1982,25,0.3181,289.474,24.56,71.01,47.78,0.17,11.37
43,1982,26,0.319,289.39,23.75,73.79,48.77,0.07,7.64
44,1982,27,0.3203,289.601,24.45,73.85,49.15,0.07,7.45
45,1982,28,0.3278,290.333,28.12,71.04,49.58,0.0,7.28
46,1982,29,0.338,291.355,33.01,66.59,49.8,0.0,7.28
47,1982,30,0.3419,291.799,42.34,65.72,54.03,0.0,3.46
48,1982,31,0.3438,292.233,46.48,62.62,54.55,0.0,3.13
49,1982,32,0.3367,292.41,46.33,59.83,53.08,0.0,4.45
50,1982,33,0.3322,292.394,47.88,55.82,51.85,0.0,6.52
51,1982,34,0.3313,292.129,52.07,48.09,50.08,0.0,8.8
52,1982,35,0.3303,291.527,58.1,39.62,48.86,0.07,10.64
53,1982,36,0.3255,290.973,64.02,27.84,45.93,0.1,15.32
54,1982,37,0.3106,290.018,66.62,19.92,43.27,0.17,21.52
55,1982,38,0.2943,288.388,68.9,17.67,43.29,0.07,22.21
56,1982,39,0.2662,286.356,65.44,19.12,42.28,0.26,25.6
57,1982,40,0.2295,284.082,58.14,20.59,39.36,1.22,35.26
58,1982,41,0.1942,281.874,50.87,21.31,36.09,3.46,47.08
59,1982,42,0.1714,279.895,50.05,18.98,34.51,5.5,51.73
60,1982,43,0.1529,277.603,51.88,17.36,34.62,5.5,51.07
61,1982,44,0.1362,275.707,54.42,12.34,33.38,7.12,54.17
62,1982,45,0.1144,274.034,53.65,7.88,30.76,10.54,62.24
63,1982,46,0.099,272.068,56.73,6.06,31.4,10.02,61.09
64,1982,47,0.0839,269.668,54.69,6.45,30.57,9.89,64.35
65,1982,48,0.0712,267.048,50.46,9.39,29.93,9.49,68.5
66,1982,49,0.0614,264.75,45.19,12.39,28.79,10.54,73.01
67,1982,50,0.0563,262.839,43.83,15.5,29.66,9.32,70.25
68,1982,51,0.0551,260.893,47.6,21.93,34.76,4.35,54.83
69,1982,52,0.0504,259.498,45.37,27.83,36.6,3.86,47.71
70,1983,1,0.0458,258.836,42.44,29.27,35.85,5.04,50.48
71,1983,2,0.0439,258.487,40.78,31.9,36.34,5.37,49.98
72,1983,3,0.0438,258.135,41.52,36.98,39.25,3.06,43.53
73,1983,4,0.042,257.765,39.17,44.64,41.9,1.91,35.98
74,1983,5,0.0392,257.443,34.82,52.9,43.86,0.96,28.93
75,1983,6,0.0355,257.481,27.3,60.19,43.74,0.56,27.48
76,1983,7,0.0327,258.058,20.27,65.14,42.7,0.26,27.58
77,1983,8,0.0321,259.156,16.28,67.1,41.69,0.17,27.68
78,1983,9,0.0352,260.944,16.19,66.57,41.38,0.07,26.99
79,1983,10,0.0408,263.112,17.4,62.41,39.9,0.07,33.15
80,1983,11,0.0475,265.62,17.9,57.91,37.9,0.03,41.94
81,1983,12,0.0598,268.639,20.58,53.23,36.9,0.03,45.9
82,1983,13,0.0799,272.656,26.67,45.78,36.23,0.1,48.73
83,1983,14,0.1023,276.439,33.51,37.99,35.75,0.3,51.24
84,1983,15,0.1292,279.951,41.0,31.48,36.24,0.4,49.29
85,1983,16,0.1563,282.673,36.64,43.13,39.88,0.43,34.17
86,1983,17,0.1899,285.704,40.2,39.78,39.99,0.3,33.77
87,1983,18,0.2238,288.051,42.03,37.62,39.82,0.46,34.4
88,1983,19,0.2567,289.614,41.88,39.19,40.53,0.53,32.36
89,1983,20,0.287,290.91,37.24,41.1,39.17,0.82,35.81
90,1983,21,0.307,291.678,35.73,42.11,38.92,0.69,36.11
91,1983,22,0.3221,292.161,35.02,41.21,38.12,0.79,39.01
92,1983,23,0.326,291.955,31.8,45.24,38.52,0.73,37.03
93,1983,24,0.3217,291.518,27.02,52.05,39.53,0.49,33.81
94,1983,25,0.3211,291.89,24.84,52.4,38.62,0.53,36.31
95,1983,26,0.3227,292.546,24.27,49.1,36.68,0.96,43.2
96,1983,27,0.3226,293.006,24.59,46.95,35.77,0.99,47.97
97,1983,28,0.3156,293.09,22.71,48.69,35.7,1.05,48.37
98,1983,29,0.3041,293.127,19.09,51.12,35.1,1.81,50.87
99,1983,30,0.2914,292.988,18.11,54.16,36.13,1.94,46.95
100,1983,31,0.287,292.966,18.56,54.93,36.74,2.47,45.27
101,1983,32,0.2885,292.921,21.81,54.41,38.11,2.31,40.33
102,1983,33,0.2907,292.796,26.21,51.71,38.96,2.14,37.66
103,1983,34,0.2851,292.483,28.51,44.37,36.44,3.62,46.03
104,1983,35,0.279,292.211,32.96,32.46,32.71,6.36,58.62
105,1983,36,0.2629,291.044,34.44,26.65,30.54,7.78,66.49
106,1983,37,0.2426,289.474,34.75,24.3,29.52,7.84,70.51
107,1983,38,0.2179,287.391,32.92,26.43,29.67,7.51,70.54
108,1983,39,0.1927,284.731,29.92,33.58,31.75,4.12,64.05
109,1983,40,0.1738,282.51,29.92,34.32,32.12,3.26,63.66
110,1983,41,0.1538,279.949,28.8,37.9,33.34,2.9,58.72
111,1983,42,0.1369,277.471,29.73,39.13,34.43,2.64,54.33
112,1983,43,0.1179,275.108,29.43,36.54,32.99,4.71,59.11
113,1983,44,0.1029,272.324,30.43,36.29,33.36,4.38,58.88
114,1983,45,0.0902,268.872,33.11,41.47,37.29,1.94,45.77
115,1983,46,0.079,265.606,36.8,44.87,40.83,0.59,34.69
116,1983,47,0.0701,263.659,39.18,41.58,40.38,0.86,35.32
117,1983,48,0.0653,262.503,43.28,35.59,39.44,1.48,37.92
118,1983,49,0.062,261.701,46.08,29.98,38.03,2.31,42.97
119,1983,50,0.0609,261.375,50.8,23.9,37.35,3.03,44.81
120,1983,51,0.0586,260.887,53.73,21.4,37.56,3.49,44.02
121,1983,52,0.057,260.215,57.63,22.51,40.07,3.16,36.38
122,1984,1,0.0589,260.031,67.37,20.92,44.15,1.28,26.13
123,1984,2,0.0591,259.802,69.59,23.04,46.32,0.63,20.89
124,1984,3,0.0597,259.857,70.37,26.02,48.19,0.36,16.9
125,1984,4,0.06,260.528,69.92,28.91,49.41,0.17,12.85
126,1984,5,0.0599,261.042,66.56,33.87,50.22,0.03,9.19
127,1984,6,0.0586,261.348,57.31,40.94,49.13,0.0,7.91
128,1984,7,0.0588,261.946,47.72,46.81,47.26,0.0,7.94
129,1984,8,0.0581,262.656,38.81,51.34,45.07,0.0,11.93
130,1984,9,0.057,263.359,32.38,56.21,44.29,0.0,12.98
131,1984,10,0.0587,264.937,29.28,55.06,42.17,0.0,20.26
132,1984,11,0.0617,267.579,26.18,50.46,38.32,0.0,37.23
133,1984,12,0.0689,270.525,25.25,46.39,35.82,0.0,50.54
134,1984,13,0.078,273.89,25.28,41.33,33.31,0.23,63.06
135,1984,14,0.0882,277.46,26.0,34.21,30.1,0.99,77.53
136,1984,15,0.1026,280.593,28.14,29.03,28.58,2.6,82.74
137,1984,16,0.1216,283.194,18.96,40.17,29.57,5.01,73.11
138,1984,17,0.1444,285.47,18.42,41.54,29.98,6.13,70.64
139,1984,18,0.1742,287.245,19.54,43.53,31.53,4.68,64.88
140,1984,19,0.2099,288.656,20.91,46.49,33.7,2.83,57.46
141,1984,20,0.2434,289.754,19.85,49.64,34.74,1.98,52.88
142,1984,21,0.2738,290.265,21.97,52.73,37.35,0.92,43.0
143,1984,22,0.2941,289.93,23.43,58.19,40.81,0.33,30.67
144,1984,23,0.3084,289.336,24.96,65.45,45.2,0.03,17.99
145,1984,24,0.3189,289.116,26.69,70.88,48.78,0.03,9.39
146,1984,25,0.3289,289.29,29.04,73.47,51.26,0.0,6.19
147,1984,26,0.3336,289.316,29.85,75.61,52.73,0.0,4.88
148,1984,27,0.3363,289.588,31.26,75.09,53.17,0.0,4.84
149,1984,28,0.3367,290.047,32.17,74.08,53.13,0.0,4.84
150,1984,29,0.336,290.534,32.58,73.71,53.14,0.0,4.91
151,1984,30,0.332,290.708,37.94,75.36,56.65,0.0,3.03
152,1984,31,0.32,290.38,34.92,79.68,57.3,0.0,2.34
153,1984,32,0.3117,290.292,33.81,79.32,56.56,0.0,2.93
154,1984,33,0.3005,290.011,31.7,77.54,54.62,0.0,4.25
155,1984,34,0.2869,289.413,29.88,73.4,51.64,0.03,9.19
156,1984,35,0.2629,288.088,25.74,71.88,48.81,0.07,14.1
157,1984,36,0.2357,286.545,22.51,68.51,45.51,0.13,21.12
158,1984,37,0.215,285.49,22.58,60.43,41.51,0.4,31.66
159,1984,38,0.1958,284.238,22.99,54.82,38.9,1.15,38.91
160,1984,39,0.1734,282.38,20.94,54.29,37.61,1.45,43.85
161,1984,40,0.1564,280.741,21.31,49.55,35.43,2.11,51.96
162,1984,41,0.1429,279.122,22.96,44.82,33.89,3.99,55.78
163,1984,42,0.1324,277.524,27.09,38.58,32.83,5.8,59.21
164,1984,43,0.1199,275.287,30.74,35.21,32.97,6.0,58.95
165,1984,44,0.1052,272.367,32.2,36.09,34.15,4.81,56.15
166,1984,45,0.097,269.911,39.25,34.72,36.98,2.47,45.63
167,1984,46,0.0916,267.51,50.23,33.42,41.83,1.12,31.53
