,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.315,286.227,34.3,71.46,52.88,0.0,3.75
1,1981,36,0.3216,287.486,43.64,58.53,51.09,0.0,7.19
2,1981,37,0.3249,287.958,53.31,45.77,49.54,0.16,9.84
3,1981,38,0.3213,287.879,59.04,36.83,47.94,0.0,12.81
4,1981,39,0.3124,287.108,62.67,31.43,47.05,0.16,13.28
5,1981,40,0.2943,285.664,64.68,31.09,47.89,0.0,11.56
6,1981,41,0.2687,283.501,64.78,34.42,49.6,0.16,8.59
7,1981,42,0.2389,280.554,62.2,41.31,51.75,0.0,7.66
8,1981,43,0.2024,276.594,56.89,51.64,54.26,0.0,4.69
9,1981,44,0.1631,272.46,50.82,58.22,54.52,0.0,6.09
10,1981,45,0.1244,268.327,44.22,61.68,52.95,0.0,8.75
11,1981,46,0.0968,264.188,39.66,65.6,52.62,0.0,10.16
12,1981,47,0.0815,260.426,40.9,70.29,55.59,0.0,7.5
13,1981,48,0.0704,258.086,43.54,71.63,57.58,0.0,6.56
14,1981,49,0.0622,257.361,41.59,68.89,55.24,0.0,8.75
15,1981,50,0.059,257.101,43.82,65.42,54.62,0.0,8.59
16,1981,51,0.0555,257.067,45.06,62.06,53.56,0.0,6.88
17,1981,52,0.0525,257.306,43.85,58.0,50.92,0.16,8.12
18,1982,1,0.0515,258.444,49.81,48.33,49.07,0.16,11.88
19,1982,2,0.0516,260.184,47.78,40.53,44.15,0.16,20.0
20,1982,3,0.052,261.55,46.15,36.14,41.14,0.16,25.94
21,1982,4,0.0522,262.651,41.58,35.83,38.7,0.16,34.69
22,1982,5,0.052,263.919,35.37,36.25,35.81,0.16,45.62
23,1982,6,0.0518,265.267,30.37,37.27,33.82,0.16,58.12
24,1982,7,0.0534,266.329,27.06,39.93,33.5,0.0,60.62
25,1982,8,0.0547,267.133,25.42,43.65,34.53,0.0,56.25
26,1982,9,0.0544,268.287,22.96,47.76,35.36,0.0,49.69
27,1982,10,0.0558,270.01,20.51,48.87,34.69,0.0,53.75
28,1982,11,0.0602,271.68,19.17,49.21,34.19,0.0,59.06
29,1982,12,0.0685,273.406,18.4,50.45,34.42,0.0,57.34
30,1982,13,0.0769,274.524,17.78,51.33,34.55,0.16,56.56
31,1982,14,0.0845,274.927,17.39,54.74,36.06,0.31,48.91
32,1982,15,0.0889,274.79,15.58,60.15,37.86,0.47,40.31
33,1982,16,0.1048,275.813,13.13,74.25,43.69,0.16,20.0
34,1982,17,0.1281,277.626,14.27,75.81,45.04,0.0,14.53
35,1982,18,0.1637,280.805,19.24,70.57,44.9,0.0,16.56
36,1982,19,0.2122,284.679,27.22,60.49,43.85,0.16,20.78
37,1982,20,0.2544,287.457,26.66,55.38,41.02,0.31,29.38
38,1982,21,0.285,288.661,29.28,54.35,41.82,0.62,27.19
39,1982,22,0.3043,289.434,29.49,54.81,42.15,0.16,26.09
40,1982,23,0.3125,289.751,28.1,56.83,42.47,0.16,24.38
41,1982,24,0.3164,289.83,27.14,60.32,43.73,0.16,21.72
42,1982,25,0.3236,290.038,28.55,61.59,45.07,0.0,19.22
43,1982,26,0.3286,290.28,30.11,61.74,45.92,0.16,17.81
44,1982,27,0.3315,290.588,31.42,62.44,46.93,0.31,16.41
45,1982,28,0.3297,290.812,31.7,64.34,48.02,0.31,14.38
46,1982,29,0.3388,291.628,36.97,58.96,47.96,0.0,17.03
47,1982,30,0.3454,292.23,33.88,53.95,43.91,0.31,24.38
48,1982,31,0.3518,292.89,37.29,48.02,42.65,0.78,28.59
49,1982,32,0.3564,293.399,40.59,42.3,41.44,0.78,33.12
50,1982,33,0.3587,293.655,42.99,36.81,39.9,2.19,35.31
51,1982,34,0.3586,293.882,45.06,28.61,36.83,5.31,44.53
52,1982,35,0.3473,293.81,45.35,18.63,31.99,9.22,60.62
53,1982,36,0.3277,293.444,44.75,10.71,27.73,16.72,72.19
54,1982,37,0.3024,292.512,42.51,8.23,25.37,20.31,79.06
55,1982,38,0.2777,291.0,38.72,10.29,24.5,22.03,80.78
56,1982,39,0.2459,288.531,31.48,19.31,25.39,20.31,79.69
57,1982,40,0.2142,286.398,26.25,24.89,25.57,19.38,79.06
58,1982,41,0.1914,285.226,25.79,19.59,22.69,27.03,86.41
59,1982,42,0.178,283.843,29.67,14.5,22.09,27.66,88.75
60,1982,43,0.1607,281.917,32.85,12.83,22.84,23.75,87.66
61,1982,44,0.1425,279.908,36.44,10.71,23.57,20.16,85.94
62,1982,45,0.1231,277.553,40.47,9.87,25.17,16.72,81.88
63,1982,46,0.1075,274.968,44.03,10.98,27.5,11.09,75.94
64,1982,47,0.0954,272.207,46.94,14.05,30.49,5.31,66.88
65,1982,48,0.0834,269.121,49.33,18.99,34.16,1.88,55.62
66,1982,49,0.0757,266.692,50.03,22.37,36.2,1.25,50.62
67,1982,50,0.0689,264.278,50.14,28.1,39.12,1.25,40.94
68,1982,51,0.0632,262.038,50.06,35.59,42.83,0.31,32.34
69,1982,52,0.0564,260.494,46.03,40.28,43.16,0.94,28.91
70,1983,1,0.0508,260.56,47.7,35.88,41.78,0.62,30.78
71,1983,2,0.0484,261.967,43.09,31.1,37.09,0.62,44.53
72,1983,3,0.0485,262.972,42.02,29.41,35.71,0.78,51.25
73,1983,4,0.0504,263.746,40.79,31.55,36.17,0.47,49.69
74,1983,5,0.052,264.457,36.97,34.62,35.8,0.78,50.0
75,1983,6,0.0502,264.912,30.7,39.21,34.95,0.62,53.75
76,1983,7,0.051,266.16,26.65,41.45,34.05,0.62,56.88
77,1983,8,0.0531,267.981,25.28,41.69,33.49,0.62,62.81
78,1983,9,0.0579,270.094,25.73,42.28,34.0,0.16,60.31
79,1983,10,0.0659,273.202,26.78,38.05,32.41,0.31,67.5
80,1983,11,0.0745,275.487,27.18,35.71,31.45,0.62,71.09
81,1983,12,0.0886,277.313,28.89,36.35,32.62,1.09,66.41
82,1983,13,0.1046,279.06,31.49,34.52,33.01,1.09,64.53
83,1983,14,0.1198,280.667,34.15,31.79,32.97,1.25,61.41
84,1983,15,0.1372,282.377,37.41,28.61,33.01,1.72,60.94
85,1983,16,0.1628,284.033,39.0,33.33,36.16,0.78,44.38
86,1983,17,0.1938,285.754,41.33,35.02,38.17,0.31,34.53
87,1983,18,0.2326,287.756,45.09,35.08,40.09,0.16,30.16
88,1983,19,0.2679,288.965,47.42,38.19,42.8,0.31,23.12
89,1983,20,0.2964,290.338,39.9,40.2,40.05,0.47,32.97
90,1983,21,0.3158,290.997,40.22,41.14,40.68,0.47,29.22
91,1983,22,0.328,291.188,39.05,43.98,41.51,0.47,27.66
92,1983,23,0.338,291.43,39.1,45.83,42.46,0.78,25.62
93,1983,24,0.3334,290.372,35.35,56.26,45.8,0.0,17.97
94,1983,25,0.3348,290.024,34.51,61.38,47.94,0.0,14.38
95,1983,26,0.3433,290.487,37.27,59.84,48.55,0.16,13.44
96,1983,27,0.3449,290.487,38.09,63.16,50.63,0.16,10.47
97,1983,28,0.3319,289.891,33.96,72.35,53.15,0.0,5.31
98,1983,29,0.3192,289.189,29.99,80.95,55.47,0.0,3.59
99,1983,30,0.3053,288.649,16.51,85.84,51.17,0.0,4.69
100,1983,31,0.3097,288.97,18.64,84.14,51.39,0.0,5.62
101,1983,32,0.317,289.696,22.44,76.69,49.57,0.16,8.28
102,1983,33,0.3308,290.918,29.47,63.11,46.29,0.16,14.84
103,1983,34,0.3432,291.711,37.42,50.37,43.89,0.62,22.81
104,1983,35,0.3484,292.497,46.02,31.62,38.82,2.03,36.41
105,1983,36,0.3436,292.61,52.43,18.57,35.5,1.88,48.91
106,1983,37,0.3231,291.404,51.86,17.96,34.91,3.44,50.62
107,1983,38,0.3034,290.26,50.46,16.7,33.58,4.06,55.0
108,1983,39,0.288,289.303,50.91,12.6,31.75,5.0,60.94
109,1983,40,0.2625,287.718,49.22,13.02,31.12,6.41,63.28
110,1983,41,0.2314,285.285,45.86,18.93,32.4,5.47,59.38
111,1983,42,0.1979,282.291,40.26,27.07,33.66,4.06,56.72
112,1983,43,0.1616,279.072,33.85,33.77,33.81,2.81,53.75
113,1983,44,0.1307,275.0,30.24,42.61,36.42,1.25,47.97
114,1983,45,0.1092,271.416,32.13,45.41,38.77,0.47,38.12
115,1983,46,0.0945,268.706,36.01,43.97,39.99,0.16,33.59
116,1983,47,0.0837,266.016,40.68,44.98,42.83,0.0,24.22
117,1983,48,0.0752,264.229,46.12,43.52,44.82,0.0,18.44
118,1983,49,0.0685,262.765,47.02,42.74,44.88,0.31,18.75
119,1983,50,0.0628,261.094,47.31,45.16,46.24,0.31,17.34
