,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.2076,293.956,34.98,72.65,53.82,0.21,11.24
1,1981,36,0.2126,294.362,38.54,59.23,48.88,0.73,19.35
2,1981,37,0.2105,294.207,39.71,48.33,44.02,1.73,28.77
3,1981,38,0.205,293.578,41.05,41.3,41.17,2.88,35.36
4,1981,39,0.1956,292.334,42.42,36.74,39.58,4.13,38.18
5,1981,40,0.1835,290.495,43.87,34.02,38.95,5.44,39.96
6,1981,41,0.1683,288.057,43.3,34.68,38.99,4.18,41.0
7,1981,42,0.1498,284.924,40.87,38.63,39.75,2.3,39.59
8,1981,43,0.1293,281.281,37.3,43.43,40.37,1.1,37.28
9,1981,44,0.1091,277.34,32.47,49.83,41.15,0.58,32.9
10,1981,45,0.0942,274.089,29.74,52.76,41.25,0.26,30.89
11,1981,46,0.082,271.065,28.11,53.99,41.05,0.16,29.86
12,1981,47,0.0738,268.745,28.06,53.15,40.6,0.16,31.12
13,1981,48,0.0689,267.331,29.81,50.18,39.99,0.26,33.1
14,1981,49,0.0671,266.595,33.87,45.95,39.91,0.32,34.05
15,1981,50,0.0646,265.454,37.33,45.27,41.29,0.37,30.84
16,1981,51,0.0611,264.743,38.56,44.01,41.28,0.42,31.12
17,1981,52,0.0578,264.798,38.13,40.73,39.43,0.47,36.02
18,1982,1,0.0542,265.41,38.19,33.35,35.77,1.58,49.0
19,1982,2,0.0497,265.542,34.98,32.54,33.76,1.47,57.58
20,1982,3,0.0481,265.81,33.26,32.23,32.74,1.58,62.27
21,1982,4,0.0465,266.433,30.52,33.64,32.08,1.16,65.53
22,1982,5,0.047,267.315,29.17,36.89,33.03,0.79,61.76
23,1982,6,0.0514,268.79,30.35,38.96,34.65,0.79,52.65
24,1982,7,0.0576,270.89,31.5,38.92,35.2,0.84,49.37
25,1982,8,0.0649,273.085,33.03,37.11,35.07,0.58,48.93
26,1982,9,0.0732,275.581,34.17,34.65,34.41,0.79,54.47
27,1982,10,0.0845,277.936,35.34,33.35,34.35,0.68,54.1
28,1982,11,0.1004,280.222,38.67,31.46,35.07,0.31,50.55
29,1982,12,0.1166,282.599,40.97,29.51,35.24,0.31,49.4
30,1982,13,0.1321,284.709,41.31,29.03,35.17,0.31,50.73
31,1982,14,0.1478,286.489,41.26,29.82,35.54,0.62,48.33
32,1982,15,0.1659,288.25,41.88,28.0,34.94,0.52,52.76
33,1982,16,0.1892,289.84,41.13,33.37,37.25,0.68,41.35
34,1982,17,0.2154,291.175,40.8,39.9,40.35,0.94,31.25
35,1982,18,0.2423,292.171,41.47,47.96,44.72,0.68,20.1
36,1982,19,0.2715,293.778,43.39,49.34,46.36,0.42,17.4
37,1982,20,0.2921,295.398,40.74,48.22,44.47,0.37,20.78
38,1982,21,0.3026,296.468,42.04,45.76,43.9,0.73,22.92
39,1982,22,0.303,297.258,41.87,44.37,43.12,0.88,24.79
40,1982,23,0.2948,297.804,39.64,45.82,42.73,1.3,25.89
41,1982,24,0.2822,298.153,35.78,50.85,43.31,1.35,23.7
42,1982,25,0.267,298.196,31.16,59.88,45.52,0.88,20.57
43,1982,26,0.2551,298.194,29.25,65.69,47.47,0.42,17.03
44,1982,27,0.2432,298.104,28.04,68.3,48.17,0.16,15.36
45,1982,28,0.2347,298.061,28.07,68.07,48.07,0.05,15.0
46,1982,29,0.2347,298.179,30.41,66.29,48.35,0.05,15.26
47,1982,30,0.2375,298.365,43.35,64.1,53.72,0.16,9.38
