,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1588,292.004,11.87,81.07,46.47,0.12,14.96
1,1981,36,0.1698,292.785,21.18,64.55,42.86,0.7,27.98
2,1981,37,0.1735,292.65,30.28,49.48,39.88,2.1,36.73
3,1981,38,0.1746,291.87,39.62,38.02,38.82,2.02,39.95
4,1981,39,0.1711,290.276,47.54,32.17,39.85,1.55,35.33
5,1981,40,0.1651,287.937,54.82,28.67,41.75,0.82,28.99
6,1981,41,0.1551,284.947,59.49,28.48,43.98,0.27,22.85
7,1981,42,0.1407,281.542,61.59,31.27,46.43,0.19,15.86
8,1981,43,0.1242,277.995,62.07,32.75,47.41,0.16,13.56
9,1981,44,0.1041,273.934,58.84,37.21,48.03,0.19,12.16
10,1981,45,0.0855,269.524,56.15,44.13,50.14,0.08,9.83
11,1981,46,0.0711,265.435,54.84,50.93,52.88,0.0,8.67
12,1981,47,0.0608,262.278,52.06,55.78,53.92,0.0,9.56
13,1981,48,0.0551,259.919,50.6,57.8,54.2,0.08,10.57
14,1981,49,0.0506,258.03,47.92,59.29,53.6,0.27,12.01
15,1981,50,0.0471,256.944,47.19,57.84,52.52,0.43,14.69
16,1981,51,0.0435,256.076,49.12,55.29,52.2,0.23,14.57
17,1981,52,0.0394,255.989,49.01,47.74,48.38,0.19,18.69
18,1982,1,0.0346,256.315,48.57,37.3,42.93,0.62,31.33
19,1982,2,0.0311,257.394,46.01,31.77,38.89,0.74,42.67
20,1982,3,0.0291,258.551,43.54,29.45,36.49,0.47,50.37
21,1982,4,0.0272,259.708,40.49,29.83,35.15,0.35,55.54
22,1982,5,0.0254,260.619,36.43,33.74,35.08,0.16,54.96
23,1982,6,0.0237,261.425,30.89,39.53,35.21,0.04,52.82
24,1982,7,0.0233,262.5,24.66,44.45,34.56,0.0,57.4
25,1982,8,0.0263,264.145,24.17,45.97,35.07,0.0,53.98
26,1982,9,0.0285,265.582,22.39,48.88,35.63,0.0,49.32
27,1982,10,0.0325,267.677,20.65,50.07,35.36,0.0,50.14
28,1982,11,0.0426,270.904,24.06,46.73,35.4,0.0,49.63
29,1982,12,0.0576,274.523,29.56,42.53,36.04,0.08,45.74
30,1982,13,0.0732,277.915,34.97,38.6,36.78,0.12,42.91
31,1982,14,0.0806,280.398,35.19,36.44,35.82,0.31,47.38
32,1982,15,0.0877,282.012,33.52,37.67,35.6,0.47,48.89
33,1982,16,0.1037,283.338,33.85,46.77,40.31,0.04,29.19
34,1982,17,0.1204,284.586,31.47,56.99,44.23,0.04,18.69
35,1982,18,0.1436,286.241,30.97,66.38,48.67,0.04,9.79
