,Year,Week,SMN,SMT,VCI,TCI,VHI,Area-VHI-LESS-15,Area-VHI-LESS-35
0,1981,35,0.1621,294.576,13.65,66.49,40.07,1.72,38.44
1,1981,36,0.1635,295.035,18.22,50.04,34.13,6.76,54.4
2,1981,37,0.1546,294.276,20.21,38.26,29.24,12.99,68.45
3,1981,38,0.1438,292.863,22.12,31.13,26.62,17.85,76.27
4,1981,39,0.1304,290.603,23.88,29.8,26.84,15.02,76.62
5,1981,40,0.1155,287.449,25.23,32.7,28.96,10.56,70.88
6,1981,41,0.0994,283.256,24.92,41.87,33.39,4.82,57.62
7,1981,42,0.0813,277.818,23.0,55.85,39.42,0.8,37.52
8,1981,43,0.0651,272.389,21.81,63.83,42.82,0.22,26.12
9,1981,44,0.0514,266.635,19.58,74.36,46.97,0.0,13.52
10,1981,45,0.0443,261.297,20.3,82.82,51.56,0.0,5.74
11,1981,46,0.04,256.147,22.16,89.55,55.85,0.0,2.39
12,1981,47,0.0378,252.726,23.97,91.15,57.56,0.0,2.03
13,1981,48,0.037,250.744,26.07,89.83,57.95,0.04,2.92
14,1981,49,0.0355,249.889,27.32,87.11,57.22,0.09,4.51
15,1981,50,0.0351,249.381,30.34,83.99,57.16,0.26,6.01
16,1981,51,0.0345,249.745,35.03,78.14,56.58,0.13,6.63
17,1981,52,0.0337,251.459,39.28,66.17,52.72,0.22,10.96
18,1982,1,0.0314,253.424,41.58,52.55,47.06,0.44,20.5
19,1982,2,0.0291,254.721,40.65,45.1,42.88,0.44,27.66
20,1982,3,0.0278,255.896,40.37,40.31,40.34,0.22,33.19
21,1982,4,0.0263,257.619,38.38,36.59,37.48,0.35,42.86
22,1982,5,0.0246,258.979,35.39,37.4,36.39,0.31,47.94
23,1982,6,0.0224,259.451,30.88,43.8,37.34,0.22,44.1
24,1982,7,0.0207,259.877,24.92,50.97,37.94,0.53,41.89
25,1982,8,0.021,261.711,22.32,51.67,36.99,0.4,44.99
26,1982,9,0.0196,263.154,17.23,54.66,35.94,0.49,50.95
27,1982,10,0.0202,265.325,14.06,55.86,34.96,0.62,53.91
28,1982,11,0.0241,268.091,14.74,54.45,34.6,0.53,55.01
29,1982,12,0.0312,271.413,17.73,51.44,34.58,0.4,55.15
30,1982,13,0.0429,275.518,22.4,45.71,34.05,0.22,58.2
31,1982,14,0.0509,278.822,22.3,41.33,31.82,0.75,70.13
32,1982,15,0.0623,281.637,22.57,38.88,30.73,1.55,74.37
33,1982,16,0.0816,283.844,25.1,43.14,34.12,0.31,59.26
34,1982,17,0.1027,285.773,24.95,48.42,36.68,0.13,47.19
35,1982,18,0.1299,287.707,25.58,55.24,40.41,0.26,33.45
36,1982,19,0.1691,289.997,30.38,59.21,44.79,0.09,17.68
37,1982,20,0.2161,292.665,32.62,55.91,44.27,0.13,18.25
38,1982,21,0.2594,294.895,39.32,51.57,45.44,0.18,15.6
39,1982,22,0.2891,295.655,42.38,51.51,46.94,0.09,13.79
40,1982,23,0.3017,296.08,42.17,51.89,47.03,0.26,14.27
41,1982,24,0.3017,295.801,39.95,60.16,50.06,0.22,9.1
42,1982,25,0.2937,295.218,36.02,71.51,53.76,0.09,5.74
43,1982,26,0.2915,295.598,35.88,71.86,53.87,0.09,5.43
44,1982,27,0.2823,295.356,33.76,73.43,53.6,0.0,4.95
45,1982,28,0.2802,295.531,36.04,71.68,53.86,0.0,4.29
46,1982,29,0.2789,295.779,37.88,71.47,54.67,0.04,3.84
47,1982,30,0.2782,296.018,45.79,71.08,58.44,0.04,2.65
48,1982,31,0.2761,296.208,47.87,71.82,59.84,0.0,1.77
49,1982,32,0.2749,296.817,50.27,66.64,58.45,0.0,1.99
50,1982,33,0.2723,297.249,51.47,61.7,56.58,0.0,3.23
51,1982,34,0.2693,297.4,53.63,56.98,55.31,0.0,4.11
52,1982,35,0.2602,297.026,55.28,51.37,53.32,0.0,6.1
53,1982,36,0.2448,296.154,55.56,42.93,49.24,0.09,12.68
54,1982,37,0.2215,294.302,52.69,39.86,46.27,0.49,17.32
55,1982,38,0.1961,292.019,49.4,40.49,44.94,0.35,21.39
56,1982,39,0.168,289.722,44.49,39.38,41.93,0.8,31.15
57,1982,40,0.1378,286.951,37.56,38.37,37.97,1.86,43.53
58,1982,41,0.1106,284.11,31.07,36.34,33.7,4.55,58.24
59,1982,42,0.0914,281.183,29.11,33.32,31.22,6.89,66.46
60,1982,43,0.0764,277.668,28.88,33.12,31.0,5.88,66.86
61,1982,44,0.0656,274.903,29.03,31.71,30.37,5.39,69.02
62,1982,45,0.0551,271.882,28.13,32.06,30.09,5.83,70.53
63,1982,46,0.0479,268.438,28.5,34.23,31.37,3.45,68.36
64,1982,47,0.0434,265.085,28.85,37.63,33.24,1.94,60.94
65,1982,48,0.0389,261.921,27.83,41.34,34.58,2.43,54.88
66,1982,49,0.0363,259.644,28.26,43.14,35.7,3.4,51.13
67,1982,50,0.0348,257.329,30.01,46.58,38.3,3.62,44.23
68,1982,51,0.0348,255.447,35.47,50.88,43.17,1.99,32.79
69,1982,52,0.0347,254.467,40.9,51.53,46.22,1.33,26.25
70,1983,1,0.0341,253.918,46.34,50.09,48.22,0.75,21.7
71,1983,2,0.0329,253.882,47.48,49.01,48.25,0.49,21.03
72,1983,3,0.0322,253.727,47.97,50.1,49.04,0.22,18.25
73,1983,4,0.0313,253.697,46.5,54.1,50.3,0.04,15.02
